"sentence_id","surface","occurrence","item_id"
"s001","wacht ... auf","1","w008"
"s002","kommen ... heraus","1","w014"
"s004","schreit ... an","1","w022"
"s005","mischt sich ... ein","1","w026"
"s006","weist ... zurecht","1","w027"
"s009","Metalltaschenlampe","1","w039"
"s012","sein","1","w052"
"s018","Plastikvorhang","1","w078"
"s019","Krankenhaus","1","w080"
"s026","schreit ... zurück","1","w098"
"s027","das Sagen hat","1","w101"
"s029","schläft ... ein","1","w108"
"s032","aufwacht","1","w008"
"s032","scheint ... herein","1","w123"
"s033","Fußsohlen","1","w124"
"s034","Krankenschwester","1","w126"
"s036","fühlt sich ... an","1","w133"
"s039","bringt ... heraus","1","w141"
"s043","Augenlider","1","w149"
"s043","zieht ... hoch","1","w150"
"s045","Attila der Hunnenkönig","1","w155"
"s047","schläft ... ein","1","w108"
