"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1. Stimmen am Bett","Maik wakes while a doctor moves his mouth strangely.","Maik wacht auf, während ein Arzt komisch den Mund bewegt.","","","Maik wacht auf|während ein Arzt|komisch den Mund bewegt","de.separable_verb|de.subordinate_waehrend","A2"
"s002","2","1. Stimmen am Bett","At first, no clear words come out.","Zuerst kommen keine klaren Wörter heraus.","","","Zuerst|kommen|keine klaren Wörter heraus","de.inversion|de.separable_verb|de.negation","A2"
"s003","3","1. Stimmen am Bett","Then the doctor starts shouting.","Dann beginnt der Arzt zu schreien.","","","Dann|beginnt der Arzt|zu schreien","de.inversion|de.infinitive_zu","A2"
"s004","4","1. Stimmen am Bett","He shouts at a small woman.","Er schreit eine kleine Frau an.","","","Er|schreit eine kleine Frau|an","de.separable_verb|de.accusative_object","A2"
"s005","5","1. Stimmen am Bett","A uniformed police officer joins the argument.","Ein Polizist in Uniform mischt sich ein.","","","Ein Polizist in Uniform|mischt sich|ein","de.reflexive|de.separable_verb","A2"
"s006","6","1. Stimmen am Bett","The officer tells the doctor to calm down.","Der Polizist weist den Arzt zurecht.","","","Der Polizist|weist den Arzt|zurecht","de.separable_verb|de.accusative_object","A2"
"s007","7","2. Arzt oder Bäcker","Maik recognizes the white coat.","Maik erkennt den weißen Kittel.","","","Maik|erkennt|den weißen Kittel","de.verb_second|de.accusative_object","A2"
"s008","8","2. Arzt oder Bäcker","Still, a baker could wear such a coat too.","Trotzdem könnte auch ein Bäcker so einen Kittel tragen.","","","Trotzdem|könnte auch ein Bäcker|so einen Kittel tragen","de.inversion|de.konjunktiv_ii","A2"
"s009","9","2. Arzt oder Bäcker","But the man has a metal flashlight.","Aber der Mann hat eine Metalltaschenlampe.","","","Aber|der Mann hat|eine Metalltaschenlampe","de.coordination|de.accusative_object","A2"
"s010","10","2. Arzt oder Bäcker","A stethoscope also hangs from his pocket.","Auch ein Stethoskop hängt an seiner Tasche.","","","Auch ein Stethoskop|hängt|an seiner Tasche","de.fronting|de.prepositional_phrase","A2"
