"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","For Sherlock Holmes she is always only THE woman.","Für Sherlock Holmes ist sie immer nur DIE Frau.","","","Für Sherlock Holmes ist sie immer nur DIE Frau.","","Extended"
"s002","2","1","I have hardly ever heard him call her anything else.","Ich habe kaum je gehört, daß er sie anders genannt hätte.","","","Ich habe kaum je gehört,|daß er sie anders genannt hätte.","de.subordinate.dass|de.konjunktiv2.past","Extended"
"s003","3","1","In his eyes she surpasses and dominates the whole of her sex.","In seinen Augen übertrifft und beherrscht sie ihr ganzes Geschlecht.","","","In seinen Augen übertrifft und beherrscht sie ihr ganzes Geschlecht.","","Extended"
"s004","4","1","Not that he felt anything like love for Irene Adler.","Nicht daß er irgendein Gefühl wie Liebe für Irene Adler empfände.","","","Nicht daß er irgendein Gefühl wie Liebe für Irene Adler empfände.","de.subordinate.dass","Extended"
"s005","5","1","All emotions, and this one in particular, were abhorrent to his cold, precise, yet admirably balanced mind.","Alle Gefühle, und dieses im besonderen, waren seinem kalten, präzisen, doch bewundernswert ausgeglichenen Verstand verhaßt.","","","Alle Gefühle,|und dieses im besonderen,|waren seinem kalten, präzisen,|doch bewundernswert ausgeglichenen Verstand verhaßt.","","Extended"
"s006","6","1","To my knowledge he was the most perfect reasoning and observing machine the world had ever seen, but as a lover he would have been out of place.","Er war meines Wissens nach die vollkommenste Denk- und Beobachtungsmaschine, die die Welt je gesehen hat, doch als Liebhaber wäre er fehl am Platze gewesen.","","","Er war meines Wissens nach die vollkommenste Denk- und Beobachtungsmaschine,|die die Welt je gesehen hat,|doch als Liebhaber wäre er fehl am Platze gewesen.","de.relative.der|de.konjunktiv2.past","Extended"
"s007","7","1","He always spoke of the softer passions only with scorn and mockery.","Von den zarteren Leidenschaften sprach er immer nur mit Hohn und Spott.","","","Von den zarteren Leidenschaften sprach er immer nur mit Hohn und Spott.","","Extended"
"s008","8","1","They were a wonderful thing for the observer—excellent for lifting the veil from people's motives and actions.","Sie waren eine wunderbare Sache für den Beobachter – ausgezeichnet geeignet, den Schleier von den Motiven und Handlungen der Menschen zu lüften.","","","Sie waren eine wunderbare Sache für den Beobachter – ausgezeichnet geeignet,|den Schleier von den Motiven|und Handlungen der Menschen zu lüften.","de.relative.der|de.zu-infinitive","Extended"
"s009","9","1","But for a trained thinker, such intrusions into his sensitive and finely adjusted temperament were a distracting factor that could cast doubt on all the results of his reasoning.","Doch für einen geübten Denker waren derlei Einmischungen in sein empfindliches und fein justiertes Temperament ein Ablenkungsfaktor, der sämtliche Ergebnisse seiner Überlegungen in Zweifel ziehen konnte.","","","Doch für einen geübten Denker waren derlei Einmischungen in sein|empfindliches und fein justiertes Temperament ein Ablenkungsfaktor,|der sämtliche Ergebnisse seiner Überlegungen in Zweifel ziehen konnte.","de.relative.der","Extended"
"s010","10","1","A speck of dirt in a delicate instrument or a crack in one of his powerful magnifying lenses would have been no more disturbing to a nature like his than a strong emotion.","Eine Verschmutzung in einem empfindlichen Instrument oder ein Sprung in einem seiner starken Vergrößerungsgläser wären für eine Natur wie seine nicht störender gewesen als ein starkes Gefühl.","","","Eine Verschmutzung in einem empfindlichen Instrument|oder ein Sprung in einem seiner starken Vergrößerungsgläser wären für|eine Natur wie seine nicht störender gewesen|als ein starkes Gefühl.","de.konjunktiv2.past","Extended"
"s011","11","1","And yet there was this one woman for him, and that woman was the late Irene Adler, of doubtful and questionable memory.","Und doch gab es für ihn diese einzige Frau, und diese Frau war die verstorbene Irene Adler von zweifelhaftem und fragwürdigem Andenken.","","","Und doch gab es für ihn diese einzige Frau,|und diese Frau war die verstorbene Irene Adler von zweifelhaftem|und fragwürdigem Andenken.","","Extended"
"s012","12","1","I had seen little of Holmes lately.","Ich hatte Holmes in letzter Zeit selten gesehen.","","","Ich hatte Holmes in letzter Zeit selten gesehen.","","Extended"
"s013","13","1","My marriage had separated our paths.","Meine Heirat hatte unsere Wege getrennt.","","","Meine Heirat hatte unsere Wege getrennt.","","Extended"
"s014","14","1","My complete happiness and the domestic concerns that entirely occupy a man who finds himself for the first time master of his own household demanded all my attention, while Holmes, who detested every kind of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried in his old books and alternating from week to week between cocaine and ambition, the stupor of the drug and the fiery energy of his passionate nature.","Mein vollkommenes Glück und die häuslichen Angelegenheiten, die einen Mann, der sich zum ersten Mal als Oberhaupt eines eigenen Haushalts wiederfindet, gänzlich in Anspruch nehmen, erforderten meine volle Aufmerksamkeit, während Holmes, der jegliche Art von Gesellschaft mit seiner ganzen Bohemien-Seele verabscheute, in unserer Unterkunft in der Baker Street zurückblieb, vergraben in seinen alten Büchern und von Woche zu Woche wechselnd zwischen Kokain und Ehrgeiz, der Betäubung durch die Droge und der feurigen Energie seiner leidenschaftlichen Natur.","","","Mein vollkommenes Glück und die häuslichen Angelegenheiten,|die einen Mann,|der sich zum ersten Mal|als Oberhaupt eines eigenen Haushalts wiederfindet,|gänzlich in Anspruch nehmen,|erforderten meine volle Aufmerksamkeit, während Holmes,|der jegliche Art von Gesellschaft mit seiner ganzen Bohemien-Seele verabscheute,|in unserer Unterkunft in der Baker Street zurückblieb,|vergraben in seinen alten Büchern|und von Woche zu Woche wechselnd zwischen Kokain und Ehrgeiz,|der Betäubung durch die Droge|und der feurigen Energie seiner leidenschaftlichen Natur.","de.relative.der","Extended"
"s015","15","1","He was still wholly devoted to the study of crime and used his immense abilities and extraordinary powers of observation to follow those clues and solve those mysteries which the police had abandoned as hopeless.","Er war nach wie vor ganz dem Studium des Verbrechens hingegeben und nutzte seine immensen Fähigkeiten und seine außergewöhnliche Beobachtungsgabe dazu, jene Spuren zu verfolgen und jene Rätsel zu lösen, die die Polizei als hoffnungslos aufgegeben hatte.","","","Er war nach wie vor ganz dem Studium des Verbrechens|hingegeben und nutzte seine immensen Fähigkeiten|und seine außergewöhnliche Beobachtungsgabe dazu,|jene Spuren zu verfolgen und jene Rätsel zu lösen,|die die Polizei als hoffnungslos aufgegeben hatte.","de.relative.der|de.zu-infinitive","Extended"
