"id","name","english","explanation","example_id","level"
"de.accusative_infinitive","Perception verb plus infinitive","see or hear someone do something","After sehen or hören, an infinitive can follow without zu.","s070","B1"
"de.accusative_object","Accusative object","direct object","The accusative marks many direct objects.","s044","A2"
"de.adverb_position","Adverb placement","position of adverbial information","German adverbs are placed according to meaning and emphasis, often in the middle field.","s045","A2"
"de.comparison_wie","Comparison with wie","as or like","Use wie for equality or resemblance.","s009","A2"
"de.contraction","Preposition-article contraction","contracted preposition and article","Forms such as im, am, ins, vom and zum combine a preposition with an article.","s015","A2"
"de.coordination","Coordinated clauses or phrases","coordination with and/but/or","Connect equal elements with und, aber, oder or doch.","s001","A2"
"de.copular","Copular clause","linking verb sein or werden","Sein and werden connect the subject to a description or identity.","s052","A2"
"de.dative_experiencer","Dative experiencer","a feeling expressed with dative","Some feelings and evaluations use a dative person, as in mir ist kalt.","s008","B1"
"de.dative_object","Dative object","recipient or affected person","The dative often marks the recipient or person affected.","s040","A2"
"de.fronting","Object or phrase in first position","fronted object","An object may be placed first for emphasis; the verb remains second.","s060","B1"
"de.impersonal_man","Impersonal man","people or one in general","Man refers to people in general and takes a singular verb.","s017","A2"
"de.indirect_question","Indirect question","embedded question","Question words introduce subordinate clauses with the verb at the end.","s013","B1"
"de.infinitive_zu","Infinitive with zu","to plus infinitive","Many verbs and expressions are followed by zu and an infinitive.","s009","A2"
"de.inversion","Fronted element and inversion","fronted element before the verb","When another element comes first, the finite verb still stays second and the subject follows.","s003","A2"
"de.konjunktiv_i","Konjunktiv I","reported speech form","Konjunktiv I marks information reported from another speaker or belief.","s053","B1"
"de.konjunktiv_ii","Konjunktiv II","would or hypothetical form","Use würde or special forms such as könnte and wäre for imagined or unlikely situations.","s011","B1"
"de.modal_infinitive","Modal verb plus infinitive","can, must, should plus verb","The modal verb is finite and the main infinitive stands at the end.","s018","A2"
"de.name_phrase","Multi-word name","personal name","A multi-word proper name functions as one reference.","s026","A2"
"de.negation","Negation with nicht or kein","negating a clause or noun","Use nicht for clauses and qualities, and kein for indefinite nouns.","s004","A2"
"de.past_simple","Narrative preterite","simple past narration","Common narrative verbs such as war, hatte, sagte and sah often appear in the preterite.","s005","A2"
"de.perfect","Present perfect","has or have done","Use haben or sein plus a past participle for a completed event.","s016","A2"
"de.pluperfect","Pluperfect","had done","Use hatte or war plus past participle for an event before another past event.","s006","B1"
"de.prepositional_phrase","Prepositional phrase","preposition plus noun phrase","A preposition introduces information about place, time, cause or relation.","s002","A2"
"de.prepositional_verb","Verb with fixed preposition","verb-preposition combination","Some verbs require a particular preposition, such as denken an or fragen nach.","s047","B1"
"de.reflexive","Reflexive verb","verb with sich","The reflexive pronoun refers back to the subject.","s007","A2"
"de.reflexive_phrase","Reflexive fixed phrase","fixed expression with sich","The reflexive pronoun is part of a fixed expression.","s048","B1"
"de.reported_speech","Reported speech","reporting another statement","Reported content may use a following clause and often Konjunktiv I.","s053","B1"
"de.reported_thought","Reported thought without dass","reported idea in a main-clause form","Informal German can report a thought with a following main clause.","s041","B1"
"de.resultative","Resultative expression","make or become plus result","A verb and adjective describe the resulting state.","s069","B1"
"de.separable_verb","Separable verb","prefix separated in a main clause","In a main clause, the separable prefix moves to the end.","s024","A2"
"de.subordinate_dass","Clause with dass","that-clause","Dass introduces a subordinate clause and sends the finite verb to the end.","s011","A2"
"de.subordinate_weil","Clause with weil","because-clause","Weil gives a reason and sends the finite verb to the end.","s024","A2"
"de.superlative","Superlative adjective","most or -est","The superlative marks the highest degree and takes adjective endings before nouns.","s033","A2"
"de.temporal_als","Past-time clause with als","when for one past event","Als introduces a single event or period in the past; the verb goes to the end.","s005","A2"
"de.verb_second","Verb in second position","finite verb in second position","In main clauses, the finite verb normally occupies the second field.","s001","A2"
