"lexeme_id","english","target","article","pos","level"
"de.adverb.zuerst","first","zuerst","","adverb","A2"
"de.conjunction.und","and","und","","conjunction","A2"
"de.name.maik","Maik","Maik","","name","A2"
"de.noun.blut","blood","Blut","das","noun","A2"
"de.noun.kaffee","coffee","Kaffee","der","noun","A2"
"de.verb.riechen","smell","riechen","","verb","B1"
"de.adj.ander","other","ander","","adjective","A2"
"de.article.der","the","der","","article","A2"
"de.article.die","the","die","","article","A2"
"de.noun.kaffeemaschine","coffee machine","Kaffeemaschine","die","noun","A2"
"de.noun.seite","side","Seite","die","noun","A2"
"de.prepositionparticle.auf","on/up","auf","","preposition/particle","A2"
"de.verb.stehen","stand","stehen","","verb","A2"
"de.noun.schuh","shoes","Schuh","der","noun","A2"
"de.possessive.sein","his/its","sein","","possessive","A2"
"de.preposition.in","in/into","in","","preposition","A2"
"de.verb.sein","be","sein","","verb","A2"
"de.adverb.nur","only","nur","","adverb","A2"
"de.conjunction.aber","but","aber","","conjunction","A2"
"de.particle.nicht","not","nicht","","particle","A2"
"de.pronoun.es","it","es","","pronoun","A2"
"de.adj.alt","old","alt","","adjective","A2"
"de.adverb.vierzehn","fourteen","vierzehn","","adverb","A2"
"de.conjunctionpreposition.als","when/as/than","als","","conjunction/preposition","A2"
"de.noun.angst","fear","Angst","die","noun","A2"
"de.noun.polizist","police officer","Polizist","der","noun","A2"
"de.verb.bekommen","get","bekommen","","verb","B1"
"de.verb.sagen","say","sagen","","verb","A2"
"de.adverb.sogar","even","sogar","","adverb","A2"
"de.phrase.in_die_hose_machen","wet one’s trousers from fear","sich in die Hose machen","","phrase","B1"
"de.prepositionparticle.vor","before/forward","vor","","preposition/particle","A2"
"de.pronoun.er","he/him","er","","pronoun","A2"
"de.verb.haben","have","haben","","verb","A2"
"de.adj.schief","crooked","schief","","adjective","A2"
"de.adverb.sass","saß","saß","","adverb","A2"
"de.adverb.sich","sich","sich","","adverb","A2"
"de.article.ein","a/an","ein","","article","A2"
"de.noun.hocker","stool","Hocker","der","noun","A2"
"de.verb.bewegen","move","bewegen","","verb","B1"
"de.adj.schwindlig","dizzy","schwindlig","","adjective","A2"
"de.adverb.sehr","very","sehr","","adverb","A2"
"de.adj.ruhig","calm","ruhig","","adjective","A2"
"de.adverb.so","so/such","so","","adverb","A2"
"de.name.tschick","Tschick","Tschick","","name","A2"
"de.questioncomparisonword.wie","how/like","wie","","question/comparison word","A2"
"de.verb.aussehen","look","aussehen","","verb","A2"
"de.verb.versuchen","try","versuchen","","verb","B1"
"de.adj.laecherlich","ridiculous","lächerlich","","adjective","A2"
"de.conjunctionadverb.doch","but/still","doch","","conjunction/adverb","A2"
"de.noun.held","hero","Held","der","noun","A2"
"de.verb.fuehlen","feel","fühlen","","verb","A2"
"de.adj.schlecht","bad","schlecht","","adjective","A2"
"de.adverb.immer","always","immer","","adverb","A2"
"de.conjunction.dass","that","dass","","conjunction","A2"
"de.noun.reise","journey","Reise","die","noun","A2"
"de.verb.enden","end","enden","","verb","B1"
"de.verb.werden","become/will","werden","","verb","A2"
"de.verb.wissen","know","wissen","","verb","A2"
