"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","I spent the night in Baker Street, and the next morning we were sitting over toast and coffee when the King of Bohemia burst into the room.","Ich übernachtete in der Baker Street, und wir saßen am nächsten Morgen gerade bei Toast und Kaffee, als der König von Böhmen ins Zimmer stürmte.","","","Ich übernachtete in der Baker Street,|und wir saßen am nächsten Morgen gerade bei Toast und Kaffee,|als der König von Böhmen ins Zimmer stürmte.","","Extended"
"s002","2","1","“You have it, then!” he cried, grasping Holmes by the shoulders and looking eagerly into his face.","»Sie haben es also wirklich!« rief er, indem er Holmes bei den Schultern packte und ihm gespannt ins Gesicht sah.","","","»Sie haben es also wirklich!« rief er,|indem er Holmes bei den Schultern packte|und ihm gespannt ins Gesicht sah.","","Extended"
"s003","3","1","“Not yet.”","»Noch nicht.«","","","»Noch nicht.«","","Extended"
"s004","4","1","“But you have hope?”","»Aber Sie haben Hoffnung?«","","","»Aber Sie haben Hoffnung?«","","Extended"
"s005","5","1","“I have hope.”","»Ich habe Hoffnung.«","","","»Ich habe Hoffnung.«","","Extended"
"s006","6","1","“Then come.","»Dann kommen Sie.","","","»Dann kommen Sie.","","Extended"
"s007","7","1","I can hardly wait to set out.”","Ich kann es kaum erwarten aufzubrechen.«","","","Ich kann es kaum erwarten aufzubrechen.«","","Extended"
"s008","8","1","“We still need a carriage.”","»Wir brauchen noch eine Kutsche.«","","","»Wir brauchen noch eine Kutsche.«","","Extended"
"s009","9","1","“No, my brougham is outside.”","»Nein, mein Brougham steht draußen.«","","","»Nein,|mein Brougham steht draußen.«","","Extended"
"s010","10","1","“That naturally simplifies matters.”","»Das vereinfacht natürlich die Sache.«","","","»Das vereinfacht natürlich die Sache.«","","Extended"
"s011","11","1","We went downstairs and once more set off for Briony Lodge.","Wir gingen hinunter und machten uns ein weiteres Mal auf den Weg zur Briony Lodge.","","","Wir gingen hinunter und machten uns ein weiteres Mal auf|den Weg zur Briony Lodge.","","Extended"
"s012","12","1","“Irene Adler is married,” Holmes remarked.","»Irene Adler hat geheiratet«, bemerkte Holmes.","","","»Irene Adler hat geheiratet«, bemerkte Holmes.","","Extended"
"s013","13","1","“Married!","»Geheiratet!","","","»Geheiratet!","","Extended"
"s014","14","1","When?”","Wann?«","","","Wann?«","","Extended"
"s015","15","1","“Yesterday.”","»Gestern.«","","","»Gestern.«","","Extended"
"s016","16","1","“And to whom?”","»Und wen?«","","","»Und wen?«","","Extended"
"s017","17","1","“To an English lawyer named Norton.”","»Einen englischen Rechtsanwalt namens Norton.«","","","»Einen englischen Rechtsanwalt namens Norton.«","","Extended"
"s018","18","1","“But she cannot possibly love him.”","»Aber sie kann ihn unmöglich lieben.«","","","»Aber sie kann ihn unmöglich lieben.«","","Extended"
"s019","19","1","“I very much hope that she does.”","»Ich will doch sehr hoffen, daß sie ihn liebt.«","","","»Ich will doch sehr hoffen,|daß sie ihn liebt.«","","Extended"
"s020","20","1","“And why?”","»Und weshalb?«","","","»Und weshalb?«","","Extended"
"s021","21","1","“Because that would free Your Majesty from all fear of future annoyance.","»Weil das Eure Majestät von jeglicher Furcht vor zukünftiger Belästigung befreien würde.","","","»Weil das Eure Majestät von jeglicher Furcht vor zukünftiger Belästigung befreien würde.","","Extended"
"s022","22","1","If the lady loves her husband, then she no longer loves Your Majesty.","Wenn die Dame ihren Gatten liebt, dann liebt sie Eure Majestät nicht mehr.","","","Wenn die Dame ihren Gatten liebt,|dann liebt sie Eure Majestät nicht mehr.","","Extended"
"s023","23","1","And if she no longer loves Your Majesty, then she has no reason to sabotage Your Majesty's plans.”","Und wenn sie Eure Majestät nicht mehr liebt, dann gibt es auch keinen Grund für sie, Euer Majestät Absichten zu sabotieren.«","","","Und wenn sie Eure Majestät nicht mehr liebt,|dann gibt es auch keinen Grund für sie,|Euer Majestät Absichten zu sabotieren.«","de.zu-infinitive","Extended"
"s024","24","1","“That is true.","»Das ist wahr.","","","»Das ist wahr.","","Extended"
"s025","25","1","But still… Ah!","Aber trotzdem… Ach!","","","Aber trotzdem… Ach!","","Extended"
"s026","26","1","I wish she had been of equal rank!","Ich wünschte, sie wäre von ebenbürtigem Stand gewesen!","","","Ich wünschte,|sie wäre von ebenbürtigem Stand gewesen!","de.konjunktiv2.past","Extended"
"s027","27","1","What a queen she would have made!”","Welch eine Königin hätte sie abgegeben!«","","","Welch eine Königin hätte sie abgegeben!«","de.konjunktiv2.past","Extended"
"s028","28","1","He fell into gloomy silence, which lasted until we arrived at Serpentine Avenue.","Er verfiel in trübsinniges Schweigen, das bis zu unserem Eintreffen in der Serpentine Avenue anhielt.","","","Er verfiel in trübsinniges Schweigen,|das bis zu unserem Eintreffen in der Serpentine Avenue anhielt.","de.relative.der","Extended"
"s029","29","2","The door of Briony Lodge was open, and an elderly woman stood on the steps.","Die Tür der Briony Lodge war offen, und eine ältere Frau stand auf den Stufen.","","","Die Tür der Briony Lodge war offen,|und eine ältere Frau stand auf den Stufen.","","Extended"
"s030","30","2","She looked at us with a sardonic expression as we got out of the brougham.","Sie betrachtete uns mit sardonischem Blick, als wir aus dem Brougham stiegen.","","","Sie betrachtete uns mit sardonischem Blick,|als wir aus dem Brougham stiegen.","","Extended"
"s031","31","2","“Mr Sherlock Holmes, I presume?” she asked.","»Mr. Sherlock Holmes, nehme ich an?« fragte sie.","","","»Mr. Sherlock Holmes,|nehme ich an?« fragte sie.","","Extended"
"s032","32","2","“I am Mr Holmes,” my friend replied, looking at her questioningly and with considerable alarm.","»Ich bin Mr. Holmes«, antwortete mein Freund und sah sie fragend und ziemlich erschrocken an.","","","»Ich bin Mr. Holmes«,|antwortete mein Freund und sah sie fragend|und ziemlich erschrocken an.","","Extended"
"s033","33","2","“Indeed!","»Tatsächlich!","","","»Tatsächlich!","","Extended"
"s034","34","2","My mistress told me that you would probably come.","Meine Herrin hat mir gesagt, daß Sie wahrscheinlich kommen würden.","","","Meine Herrin hat mir gesagt,|daß Sie wahrscheinlich kommen würden.","","Extended"
"s035","35","2","She and her husband left this morning on the 5:15 train from Charing Cross for the Continent.”","Sie und ihr Gemahl sind heute Morgen mit dem 5:15-Uhr-Zug von Charing Cross Richtung Kontinent abgereist.«","","","Sie und ihr Gemahl sind heute Morgen mit dem 5:15-Uhr-Zug|von Charing Cross Richtung Kontinent abgereist.«","","Extended"
"s036","36","2","“What!”","»Was!«","","","»Was!«","","Extended"
"s037","37","2","Sherlock Holmes staggered backwards, pale with anger and surprise.","Sherlock Holmes taumelte rückwärts, bleich vor Ärger und Überraschung.","","","Sherlock Holmes taumelte rückwärts,|bleich vor Ärger und Überraschung.","","Extended"
"s038","38","2","“Do you mean that she has left England?”","»Soll das heißen, daß sie England verlassen hat?«","","","»Soll das heißen,|daß sie England verlassen hat?«","","Extended"
"s039","39","2","“For ever.”","»Und zwar für immer.«","","","»Und zwar für immer.«","","Extended"
"s040","40","2","“And the papers?” asked the King hoarsely.","»Und die Papiere?« fragte der König heiser.","","","»Und die Papiere?« fragte der König heiser.","","Extended"
"s041","41","2","“Everything is lost.”","»Alles ist verloren.«","","","»Alles ist verloren.«","","Extended"
"s042","42","2","“We shall see.”","»Wir werden sehen.«","","","»Wir werden sehen.«","","Extended"
"s043","43","2","He pushed past the servant and hurried into the sitting room, followed by the King and me.","Er drängte sich an der Bediensteten vorbei und eilte in den Salon, gefolgt vom König und mir selbst.","","","Er drängte sich an der Bediensteten vorbei|und eilte in den Salon,|gefolgt vom König und mir selbst.","","Extended"
"s044","44","2","The furniture was scattered about, shelves had been cleared, and drawers stood open, as though the lady had emptied them in the greatest haste before her flight.","Das Mobiliar war kreuz und quer verstreut, Regale waren leergefegt und Schubladen standen offen, als hätte die Dame sie vor ihrer Flucht in größter Eile ausgeräumt.","","","Das Mobiliar war kreuz und quer verstreut,|Regale waren leergefegt und Schubladen standen offen,|als hätte die Dame sie vor ihrer Flucht in größter Eile ausgeräumt.","de.konjunktiv2.past","Extended"
