"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","It is night.","Es ist Nacht.","","","Es ist|Nacht.","","A0.1"
"s002","2","1","The fog is thick.","Der Nebel ist dick.","","","Der Nebel|ist|dick.","","A0.1"
"s003","3","1","A man is standing in front of the door.","Ein Mann steht vor der Tür.","vor + dative marks a position.","","Ein Mann|steht|vor der Tür.","de.case.dat-after-prep","A0.1"
"s004","4","2","Clara sees the man.","Clara sieht den Mann.","","","Clara|sieht|den Mann.","","A0.1"
"s005","5","2","She is standing at the window.","Sie steht am Fenster.","","","Sie|steht|am Fenster.","de.case.dat-after-prep","A0.1"
"s006","6","2","She does not turn on a light.","Sie macht kein Licht.","","","Sie|macht|kein Licht.","","A0.1"
"s007","7","3","The man knocks.","Der Mann klopft.","","","Der Mann|klopft.","","A0.1"
"s008","8","3","Nobody comes.","Niemand kommt.","","","Niemand|kommt.","","A0.1"
"s009","9","3","The man waits for a long time.","Der Mann wartet lange.","","","Der Mann|wartet|lange.","","A0.1"
"s010","10","3","Then he goes away.","Dann geht er weg.","The first part stays in second position; weg goes to the end.","","Dann|geht er|weg.","de.sep.prefix-split","A0.1"
"s011","11","4","Something is lying on the ground.","Etwas liegt auf dem Boden.","","","Etwas|liegt|auf dem Boden.","de.case.dat-after-prep","A0.1"
"s012","12","4","It is a key.","Es ist ein Schlüssel.","","","Es ist|ein Schlüssel.","","A0.1"
"s013","13","4","Clara comes out of the house.","Clara kommt aus dem Haus.","","","Clara|kommt|aus dem Haus.","","A0.1"
"s014","14","4","She takes the key.","Sie nimmt den Schlüssel.","","","Sie|nimmt|den Schlüssel.","","A0.1"
"s015","15","5","The key is cold.","Der Schlüssel ist kalt.","","","Der Schlüssel|ist|kalt.","","A0.1"
"s016","16","5","Clara sees the number.","Clara sieht die Nummer.","","","Clara|sieht|die Nummer.","","A0.1"
"s017","17","5","The number is seventeen.","Die Nummer ist siebzehn.","","","Die Nummer|ist|siebzehn.","","A0.1"
"s018","18","5","But Clara lives at number nineteen.","Aber Clara wohnt in Nummer neunzehn.","","","Aber Clara|wohnt|in Nummer neunzehn.","","A0.1"
"s019","19","6","The door is open now.","Die Tür ist jetzt offen.","","","Die Tür|ist jetzt|offen.","","A0.1"
"s020","20","6","A chair is standing in the room.","Im Zimmer steht ein Stuhl.","","","Im Zimmer|steht|ein Stuhl.","de.wordorder.verb-second","A0.1"
"s021","21","6","A letter is lying on the chair.","Auf dem Stuhl liegt ein Brief.","","","Auf dem Stuhl|liegt|ein Brief.","de.wordorder.verb-second","A0.1"
"s022","22","6","The letter is for Clara.","Der Brief ist für Clara.","","","Der Brief|ist|für Clara.","","A0.1"
"s023","23","7","Clara reads her name.","Clara liest ihren Namen.","","","Clara|liest|ihren Namen.","","A0.1"
"s024","24","7","Then she hears a step.","Dann hört sie einen Schritt.","","","Dann|hört sie|einen Schritt.","","A0.1"
"s025","25","7","Someone else is in the house.","Noch jemand ist im Haus.","","","Noch jemand|ist|im Haus.","","A0.1"
"s026","26","7","A man comes through the door.","Ein Mann kommt durch die Tür.","","","Ein Mann|kommt|durch die Tür.","","A0.1"
"s027","27","7","His name is Emil Falk.","Er heißt Emil Falk.","","","Er|heißt|Emil Falk.","","A0.1"
"s028","28","7","Emil is Clara’s neighbour.","Emil ist Claras Nachbar.","","","Emil|ist|Claras Nachbar.","","A0.1"
"s029","29","7","And Emil likes to investigate strange cases.","Und Emil sucht gern seltsame Fälle.","","","Und Emil|sucht gern|seltsame Fälle.","","A0.1"
