"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","Watson sleeps at Baker Street that night.","Watson schläft in dieser Nacht in der Baker Street.","","","Watson schläft in dieser|Nacht in der Baker Street.","","A1.3"
"s002","2","1","The next morning he eats breakfast with Holmes.","Am nächsten Morgen frühstückt er mit Holmes.","","","Am nächsten Morgen frühstückt|er mit Holmes.","de.wordorder.verb-second","A1.3"
"s003","3","1","The King of Bohemia suddenly rushes into the room.","Der König von Böhmen stürmt plötzlich ins Zimmer.","","","Der König von Böhmen|stürmt plötzlich ins Zimmer.","de.sep.prefix-split","A1.3"
"s004","4","1","He believes Holmes already has the photograph.","Er glaubt, dass Holmes das Foto schon hat.","","","Er glaubt,|dass Holmes das Foto schon|hat.","de.subordinate.dass","A1.3"
"s005","5","1","Holmes says that he only knows its hiding place.","Holmes sagt, dass er nur das Versteck kennt.","","","Holmes sagt,|dass er nur das Versteck|kennt.","de.subordinate.dass","A1.3"
"s006","6","1","The king wants to leave at once.","Der König will sofort losfahren.","","","Der König will sofort losfahren.","de.modal.infinitive-final","A1.3"
"s007","7","1","His carriage is waiting outside.","Seine Kutsche wartet draußen.","","","Seine Kutsche wartet draußen.","","A1.3"
"s008","8","1","On the way Holmes tells him about the wedding.","Auf dem Weg erzählt Holmes ihm von der Hochzeit.","","","Auf dem Weg erzählt|Holmes ihm von der Hochzeit.","de.wordorder.verb-second","A1.3"
"s009","9","2","The king cannot believe that Irene loves Norton.","Der König kann nicht glauben, dass Irene Norton liebt.","","","Der König kann nicht glauben,|dass Irene Norton liebt.","de.subordinate.dass","A1.3"
"s010","10","2","Holmes hopes that she does.","Holmes hofft, dass sie ihn liebt.","","","Holmes hofft,|dass sie ihn liebt.","de.subordinate.dass","A1.3"
"s011","11","2","Then she has no reason to hurt the king.","Dann hat sie keinen Grund, dem König zu schaden.","","","Dann hat sie keinen Grund,|dem König zu schaden.","de.zu-infinitive","A1.3"
"s012","12","2","The king says Irene would have been a great queen.","Der König sagt, dass Irene eine großartige Königin gewesen wäre.","","","Der König sagt,|dass Irene eine großartige|Königin gewesen wäre.","de.konjunktiv2.past","A1.3"
"s013","13","3","The door of Briony Lodge is already open.","Die Tür von Briony Lodge ist schon offen.","","","Die Tür von Briony|Lodge ist schon offen.","","A1.3"
"s014","14","3","An older woman waits on the steps.","Eine ältere Frau wartet auf der Treppe.","","","Eine ältere Frau wartet|auf der Treppe.","","A1.3"
"s015","15","3","She asks whether the visitor is Sherlock Holmes.","Sie fragt, ob der Besucher Sherlock Holmes ist.","","","Sie fragt,|ob der Besucher Sherlock Holmes|ist.","de.subordinate.ob","A1.3"
"s016","16","3","Irene expected him.","Irene hat ihn erwartet.","","","Irene hat ihn erwartet.","de.perfekt.haben","A1.3"
"s017","17","3","She and her husband left at five fifteen.","Sie und ihr Mann sind um fünf Uhr fünfzehn abgefahren.","","","Sie|und ihr Mann sind|um fünf Uhr fünfzehn abgefahren.","de.perfekt.sein","A1.3"
"s018","18","3","They are travelling to the continent.","Sie reisen auf den Kontinent.","","","Sie reisen auf den Kontinent.","","A1.3"
"s019","19","3","They do not plan to return to England.","Sie planen nicht, nach England zurückzukehren.","","","Sie planen nicht,|nach England zurückzukehren.","de.zu-infinitive","A1.3"
"s020","20","3","The king thinks everything is lost.","Der König glaubt, dass alles verloren ist.","","","Der König glaubt,|dass alles verloren ist.","de.subordinate.dass","A1.3"
"s021","21","4","Holmes runs into the sitting room.","Holmes läuft ins Wohnzimmer.","","","Holmes läuft ins Wohnzimmer.","","A1.3"
"s022","22","4","Cupboards and drawers are open.","Schränke und Schubladen sind offen.","","","Schränke|und Schubladen sind offen.","","A1.3"
"s023","23","4","Irene packed in great haste.","Irene hat in großer Eile gepackt.","","","Irene hat in großer Eile|gepackt.","de.perfekt.haben","A1.3"
"s024","24","4","Holmes opens the hidden panel.","Holmes öffnet die versteckte Wandplatte.","","","Holmes öffnet die versteckte Wandplatte.","","A1.3"
"s025","25","4","Inside he finds a photograph and a letter.","Darin findet er ein Foto und einen Brief.","","","Darin findet er ein Foto|und einen Brief.","de.wordorder.verb-second","A1.3"
"s026","26","4","The photograph shows Irene alone.","Das Foto zeigt Irene allein.","","","Das Foto zeigt Irene allein.","","A1.3"
"s027","27","4","The letter is for Sherlock Holmes.","Der Brief ist für Sherlock Holmes.","","","Der Brief ist für Sherlock|Holmes.","","A1.3"
"s028","28","5","Irene writes that Holmes’s plan was very good.","Irene schreibt, dass Holmes’ Plan sehr gut war.","","","Irene schreibt,|dass Holmes’ Plan sehr gut|war.","de.subordinate.dass","A1.3"
"s029","29","5","At first she believed his disguise.","Zuerst glaubte sie seiner Verkleidung.","","","Zuerst glaubte sie seiner Verkleidung.","de.wordorder.verb-second","A1.3"
"s030","30","5","But the fire alarm made her suspicious.","Aber der Feueralarm machte sie misstrauisch.","","","Aber der Feueralarm machte sie|misstrauisch.","","A1.3"
"s031","31","5","She understood that she had revealed the hiding place.","Sie verstand, dass sie das Versteck gezeigt hatte.","","","Sie verstand,|dass sie das Versteck gezeigt|hatte.","de.subordinate.dass","A1.3"
"s032","32","5","Someone had warned her about Holmes months earlier.","Jemand hatte sie schon Monate vorher vor Holmes gewarnt.","","","Jemand hatte sie schon|Monate vorher vor Holmes gewarnt.","de.plusquamperfekt","A1.3"
"s033","33","5","She knew that the king might ask him for help.","Sie wusste, dass der König ihn um Hilfe bitten könnte.","","","Sie wusste,|dass der König ihn|um Hilfe bitten könnte.","de.subordinate.dass","A1.3"
"s034","34","5","Irene herself has worked as an actress.","Irene hat selbst als Schauspielerin gearbeitet.","","","Irene hat selbst|als Schauspielerin gearbeitet.","de.perfekt.haben","A1.3"
"s035","35","5","She knows how to use a disguise.","Sie weiß, wie man eine Verkleidung benutzt.","","","Sie weiß,|wie man eine Verkleidung benutzt.","de.indirect-question","A1.3"
"s036","36","6","She quickly put on a young man’s clothes.","Sie zog schnell die Kleidung eines jungen Mannes an.","","","Sie zog schnell die|Kleidung eines jungen Mannes an.","de.sep.prefix-split","A1.3"
"s037","37","6","Then she followed Holmes to Baker Street.","Dann folgte sie Holmes bis zur Baker Street.","","","Dann folgte sie Holmes|bis zur Baker Street.","de.wordorder.verb-second","A1.3"
"s038","38","6","It was Irene who wished him good night.","Irene war die verkleidete Person, die ihm gute Nacht wünschte.","","","Irene war die verkleidete Person,|die ihm gute Nacht wünschte.","de.relative.der","A1.3"
"s039","39","6","Holmes now recognises the voice.","Holmes erkennt jetzt die Stimme.","","","Holmes erkennt jetzt die Stimme.","","A1.3"
"s040","40","7","Irene and Norton decided to leave England.","Irene und Norton beschlossen, England zu verlassen.","","","Irene|und Norton beschlossen,|England zu verlassen.","de.zu-infinitive","A1.3"
"s041","41","7","They did not want Holmes to follow them.","Sie wollten nicht, dass Holmes ihnen folgt.","","","Sie wollten nicht,|dass Holmes ihnen folgt.","de.subordinate.dass","A1.3"
"s042","42","7","Irene keeps the original photograph for her safety.","Irene behält das Originalfoto zu ihrem Schutz.","","","Irene behält das Originalfoto|zu ihrem Schutz.","","A1.3"
"s043","43","7","The king has treated her badly in the past.","Der König hat sie früher schlecht behandelt.","","","Der König hat sie|früher schlecht behandelt.","de.perfekt.haben","A1.3"
"s044","44","7","The photograph protects her from new attacks.","Das Foto schützt sie vor neuen Angriffen.","","","Das Foto schützt sie|vor neuen Angriffen.","","A1.3"
"s045","45","7","But she promises not to disturb the royal wedding.","Aber sie verspricht, die königliche Hochzeit nicht zu stören.","","","Aber sie verspricht,|die königliche Hochzeit nicht zu|stören.","de.zu-infinitive","A1.3"
"s046","46","7","She loves a better man and he loves her.","Sie liebt einen besseren Mann, und er liebt sie.","","","Sie liebt einen besseren Mann,|und er liebt sie.","","A1.3"
"s047","47","7","She leaves another photograph for the king.","Sie lässt ein anderes Foto für den König zurück.","","","Sie lässt ein anderes|Foto für den König zurück.","de.sep.prefix-split","A1.3"
