"id","name","english","explanation","example_id","level"
"de.indirect-question","Indirect question","Question word + verb at the end","In an indirect question, the question word opens the clause and the finite verb goes to the end.","","A1"
"de.konjunktiv2.past","Past hypothetical","wäre / hätte + participle","Use wäre or hätte with a past participle for an unreal past possibility.","","A1"
"de.modal.infinitive-final","Modal verb + infinitive at the end","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","",""
"de.perfekt.haben","de.perfekt.haben","","","","A1"
"de.perfekt.sein","Perfect tense with sein","Movement and change-of-state verbs often form the perfect with sein.","The finite form of sein is in second position; the past participle closes the clause.","","A2"
"de.plusquamperfekt","Past perfect","hatte/war + past participle","The past perfect describes an event that happened before another past event.","","A1"
"de.reflexive.accusative","Reflexive verb with accusative sich","The verb needs sich to be complete. It is not translated in English, and it is not optional.","The verb needs sich to be complete. It is not translated in English, and it is not optional.","",""
"de.relative.der","Relative clause with der/die/das","A relative pronoun refers back to a noun","The relative pronoun carries gender and case; the finite verb goes to the end.","","A1"
"de.sep.prefix-split","Separable verb, prefix split off","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","",""
"de.subordinate.dass","Subordinate clause with dass","dass sends the finite verb to the end","A dass-clause reports a thought or statement. The conjugated verb moves to the end.","","A1"
"de.subordinate.ob","Indirect yes/no question with ob","ob sends the finite verb to the end","Use ob for an indirect yes/no question. The finite verb goes to the end.","","A1"
"de.subordinate.wenn","Condition or repeated time with wenn","wenn sends the verb to the end","Use wenn for a condition or repeated event. The finite verb closes the clause.","","A1"
"de.wordorder.verb-second","Verb in second position","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","",""
"de.zu-infinitive","Infinitive with zu","zu + infinitive after verbs such as bitten and versuchen","Many verbs introduce another action with zu + infinitive.","","A1"
