"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.lex.baker","Baker","Baker","","","s001","Baker","name"
"w002","de.lex.der-bestimmte-artikel","the (definite article)","der bestimmte Artikel","","","s001","das|Das|dem|den|Der|der|des|Die|die|der bestimmte Artikel","function"
"w003","de.lex.dieser","this","dieser","","","s001","dieser","function"
"w004","de.lex.in","in / into","in","","","s001","in","function"
"w005","de.lex.nacht","night","Nacht","die","","s001","Nacht","word"
"w006","de.lex.schlafen","to sleep","schlafen","","","s001","schlafen|schläft","word"
"w007","de.lex.street","Street","Street","","","s001","Street","name"
"w008","de.lex.watson","Watson","Watson","","","s001","Watson","name"
"w009","de.lex.am","at the","am","","","s002","Am|am","function"
"w010","de.lex.er","he","er","","","s002","er|Er|ihm|ihn","word"
"w011","de.lex.fruehstuecken","to eat breakfast","frühstücken","","","s002","frühstücken|frühstückt","word"
"w012","de.lex.holmes","Holmes","Holmes","","","s002","Holmes|Holmes’","name"
"w013","de.lex.mit","with","mit","","","s002","mit","word"
"w014","de.lex.morgen.morning","morning","Morgen","der","","s002","Morgen","word"
"w015","de.lex.naechsten","next","nächsten","","","s002","nächsten","function"
"w016","de.lex.boehmen","Bohemia","Böhmen","","","s003","Böhmen","name"
"w017","de.lex.ins","into the","ins","","","s003","ins","word"
"w018","de.lex.koenig","king","König","der","","s003","König|Königs","word"
"w019","de.lex.ploetzlich","suddenly","plötzlich","","","s003","plötzlich","word"
"w020","de.lex.stuermen","to rush / storm","stürmen","","","s003","stürmen|stürmt","word"
"w021","de.lex.von","from (Dativ)","von","","","s003","von","word"
"w022","de.lex.zimmer","room","Zimmer","das","","s003","Zimmer","word"
"w023","de.lex.dass","that (subordinating conjunction)","dass","","","s004","dass","function"
"w024","de.lex.foto","photo","Foto","das","","s004","Foto","word"
"w025","de.lex.glauben","to believe","glauben","","","s004","glauben|glaubt|glaubte","word"
"w026","de.lex.haben","to have","haben","","","s004","haben|hat|hatte","word"
"w027","de.lex.schon","already","schon","","","s004","schon","function"
"w028","de.lex.kennen.know","to know (a person)","kennen","","","s005","kennen|kennt","word"
"w029","de.lex.nur","only","nur","","","s005","nur","word"
"w030","de.lex.sagen","to say","sagen","","","s005","sagen|sagt","word"
"w031","de.lex.versteck","hiding place","Versteck","das","","s005","Versteck","word"
"w032","de.lex.losfahren","to set off","losfahren","","","s006","losfahren|losgefahren|fuhr los|fährt los","word"
"w033","de.lex.sofort","immediately","sofort","","","s006","sofort","word"
"w034","de.lex.wollen","to want","wollen","","","s006","will|wollen|wollten","word"
"w035","de.lex.draussen","outside","draußen","","","s007","draußen","word"
"w036","de.lex.kutsche","carriage","Kutsche","die","","s007","Kutsche","word"
"w037","de.lex.sein-possessivartikel","his / her / its","sein Possessivartikel","","","s007","seine|Seine|seinen|seiner|seines|sein Possessivartikel","function"
"w038","de.lex.warten","to wait","warten","","","s007","warten|wartet","word"
"w039","de.lex.auf.into","on / onto / into","auf","","","s008","Auf|auf","function"
