"id","name","english","explanation","example_id","level"
"de.accusative-infinitive","Accusative + infinitive perception","sehen/hören + object + infinitive","After sehen or hören, the object can be followed directly by an infinitive: Ich sehe ihn gehen.","","A1"
"de.indirect-question","Indirect question","Question word + verb at the end","In an indirect question, the question word opens the clause and the finite verb goes to the end.","","A1"
"de.konjunktiv2.wuerde","Conditional with würde","würde + infinitive","Use würde + infinitive for a hypothetical action.","","A1"
"de.modal.infinitive-final","Modal verb + infinitive at the end","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","",""
"de.perfekt.haben","de.perfekt.haben","","","","A1"
"de.praeteritum.strong","Strong verb in the simple past","The vowel changes instead of adding -te. These have to be recognised, not derived.","The vowel changes instead of adding -te. These have to be recognised, not derived.","",""
"de.reflexive.accusative","Reflexive verb with accusative sich","The verb needs sich to be complete. It is not translated in English, and it is not optional.","The verb needs sich to be complete. It is not translated in English, and it is not optional.","",""
"de.sep.prefix-split","Separable verb, prefix split off","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","",""
"de.subordinate.dass","Subordinate clause with dass","dass sends the finite verb to the end","A dass-clause reports a thought or statement. The conjugated verb moves to the end.","","A1"
"de.subordinate.ob","Indirect yes/no question with ob","ob sends the finite verb to the end","Use ob for an indirect yes/no question. The finite verb goes to the end.","","A1"
"de.subordinate.verb-final","Subordinate clause: verb final","A subordinate conjunction sends the verb to the end","With bevor, während, als, wenn and similar conjunctions, the conjugated verb closes the clause.","","A1"
"de.subordinate.weil","Reason with weil","weil sends the finite verb to the end","Use weil to give a reason. The conjugated verb goes to the end of the clause.","","A1"
"de.wordorder.verb-second","Verb in second position","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","",""
"de.zu-infinitive","Infinitive with zu","zu + infinitive after verbs such as bitten and versuchen","Many verbs introduce another action with zu + infinitive.","","A1"
