"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","For Sherlock Holmes, Irene Adler is always the woman.","Für Sherlock Holmes ist Irene Adler immer die Frau.","","","Für Sherlock Holmes ist|Irene Adler immer die Frau.","","A1.1"
"s002","2","1","To him, Irene is cleverer than everyone else.","Für ihn ist Irene klüger als alle anderen.","","","Für ihn ist Irene klüger|als alle anderen.","","A1.1"
"s003","3","1","Dr Watson has not seen Holmes for a long time.","Doktor Watson hat Holmes lange nicht gesehen.","","","Doktor Watson hat Holmes|lange nicht gesehen.","de.perfekt.haben","A1.1"
"s004","4","1","Watson is married now and lives in his own home.","Watson ist jetzt verheiratet und lebt in seinem eigenen Haus.","","","Watson ist jetzt verheiratet|und lebt in seinem eigenen|Haus.","","A1.1"
"s005","5","2","One evening he walks through Baker Street.","Eines Abends geht er durch die Baker Street.","","","Eines Abends geht er|durch die Baker Street.","de.wordorder.verb-second","A1.1"
"s006","6","2","The windows of number 221B are brightly lit.","Die Fenster von Nummer 221B sind hell erleuchtet.","","","Die Fenster von Nummer|221B sind hell erleuchtet.","","A1.1"
"s007","7","2","Watson sees Holmes walking quickly around the room.","Watson sieht Holmes schnell im Zimmer hin und her gehen.","","","Watson sieht Holmes schnell|im Zimmer hin|und her gehen.","de.accusative-infinitive","A1.1"
"s008","8","2","He knows that his old friend has a new case.","Er weiß, dass der alte Freund einen neuen Fall hat.","After dass, the verb moves to the end.","A dass-clause puts the conjugated verb at the end.","Er weiß,|dass der alte Freund|einen neuen Fall hat.","de.subordinate.dass","A1.1"
"s009","9","2","Watson rings the bell and goes upstairs.","Watson klingelt und geht nach oben.","","","Watson klingelt|und geht nach oben.","de.sep.prefix-split","A1.1"
"s010","10","2","Holmes is glad to see him.","Holmes freut sich, ihn zu sehen.","","","Holmes freut sich,|ihn zu sehen.","de.reflexive.accusative","A1.1"
"s011","11","3","But he studies Watson before he says much.","Aber er untersucht Watson, bevor er viel sagt.","","","Aber er untersucht Watson,|bevor er viel sagt.","de.subordinate.verb-final","A1.1"
"s012","12","3","You are working as a doctor again, Holmes says.","„Sie arbeiten wieder als Arzt“, sagt Holmes.","","","„Sie arbeiten wieder|als Arzt“,|sagt Holmes.","","A1.1"
"s013","13","3","And you were outside in bad weather.","„Und Sie waren bei schlechtem Wetter draußen.“","","","„Und Sie waren bei|schlechtem Wetter draußen.“","","A1.1"
"s014","14","3","Watson is surprised.","Watson ist überrascht.","","","Watson ist überrascht.","","A1.1"
"s015","15","4","Holmes points to small marks on Watson’s shoe.","Holmes zeigt auf kleine Spuren an Watsons Schuhen.","","","Holmes zeigt auf kleine|Spuren an Watsons Schuhen.","","A1.1"
"s016","16","4","A careless servant cleaned the mud badly.","Eine unvorsichtige Dienerin hat den Schmutz schlecht entfernt.","","","Eine unvorsichtige Dienerin hat|den Schmutz schlecht entfernt.","de.perfekt.haben","A1.1"
"s017","17","4","Holmes also smells medicine on Watson’s clothes.","Holmes riecht auch Medizin an Watsons Kleidung.","","","Holmes riecht auch Medizin|an Watsons Kleidung.","","A1.1"
"s018","18","4","That is why he knows Watson is a doctor again.","Deshalb weiß er, dass Watson wieder als Arzt arbeitet.","","","Deshalb weiß er,|dass Watson wieder|als Arzt arbeitet.","de.subordinate.dass","A1.1"
"s019","19","4","Watson laughs because the answer seems simple now.","Watson lacht, weil die Antwort jetzt einfach wirkt.","After weil, the verb goes to the end.","A weil-clause puts the conjugated verb at the end.","Watson lacht,|weil die Antwort jetzt einfach|wirkt.","de.subordinate.weil","A1.1"
"s020","20","4","You see, but you do not observe, Holmes tells him.","„Sie sehen, aber Sie beobachten nicht“, erklärt Holmes.","","","„Sie sehen,|aber Sie beobachten nicht“,|erklärt Holmes.","","A1.1"
