"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.lex.am","at the","am","","","s001","Am|am","function"
"w002","de.lex.baker","Baker","Baker","","","s001","Baker","name"
"w003","de.lex.der-bestimmte-artikel","the (definite article)","der bestimmte Artikel","","","s001","das|Das|dem|den|Der|der|des|Die|die|der bestimmte Artikel","function"
"w004","de.lex.drei","three","drei","","","s001","drei","word"
"w005","de.lex.in","in / into","in","","","s001","in","function"
"w006","de.lex.kommen","to come","kommen","","","s001","kommen|kommt","word"
"w007","de.lex.naechsten","next","nächsten","","","s001","nächsten","function"
"w008","de.lex.street","Street","Street","","","s001","Street","name"
"w009","de.lex.tag","day","Tag","der","","s001","Tag","word"
"w010","de.lex.uhr.clock","watch","Uhr","die","","s001","Uhr","word"
"w011","de.lex.um","around / about / for","um","","","s001","Um|um","function"
"w012","de.lex.watson","Watson","Watson","","","s001","Watson","name"
"w013","de.lex.da","there / then","da","","","s002","da","function"
"w014","de.lex.holmes","Holmes","Holmes","","","s002","Holmes|Holmes’","name"
"w015","de.lex.nicht","not","nicht","","","s002","nicht","function"
"w016","de.lex.noch","still / another / yet","noch","","","s002","noch","function"
"w017","de.lex.sein","to be","sein","","","s002","ist|Sein|sein|war|waren","word"
"w018","de.lex.feuer","fire","Feuer","das","","s003","Feuer","word"
"w019","de.lex.neben","beside","neben","","","s003","neben","word"
"w020","de.lex.warten","to wait","warten","","","s003","warten|wartet","word"
"w021","de.lex.ein","a / an; one","ein","","","s004","ein|Ein|eine|Eine|einem|einen|einer|eines","function"
"w022","de.lex.herein","inside","herein","","","s004","herein","word"
"w023","de.lex.hereinkommen","to come in","hereinkommen","","","s004","hereingekommen|hereinkommen|kam herein|kommt herein","word"
"w024","de.lex.kurz","short","kurz","","","s004","Kurz|kurz","word"
"w025","de.lex.schmutzig","dirty","schmutzig","","","s004","schmutzig|schmutziger","word"
"w026","de.lex.stallknecht","stableman","Stallknecht","der","","s004","Stallknecht|Stallknechten","word"
"w027","de.lex.vier","four","vier","","","s004","vier","word"
"w028","de.lex.vor","before / in front of / from","vor","","","s004","vor|Vor","function"
"w029","de.lex.brauchen","to need","brauchen","","","s005","brauchen|braucht","word"
"w030","de.lex.erkennen","to recognise","erkennen","","","s005","erkennen","word"
"w031","de.lex.moment","moment","Moment","der","","s005","Moment","word"
"w032","de.lex.zu.at","to / at","zu","","","s005","zu","function"
"w033","de.lex.beginnen","to begin","beginnen","","","s006","beginnen|beginnt","word"
"w034","de.lex.kleidung","clothes","Kleidung","die","","s006","Kleidung","word"
"w035","de.lex.lachen","to laugh","lachen","","","s006","lachen","word"
"w036","de.lex.sein-possessivartikel","his / her / its","sein Possessivartikel","","","s006","Seine|seine|seinem|seiner|sein Possessivartikel","function"
"w037","de.lex.und","and","und","","","s006","und","function"
"w038","de.lex.wechseln","to change","wechseln","","","s006","wechseln|wechselt","word"
"w039","de.lex.er","he","er","","","s007","Er|er|ihm|ihn","word"
"w040","de.lex.haben","to have","haben","","","s007","haben|hat","word"
"w041","de.lex.haus","house","Haus","das","","s007","Haus|Hauses","word"
"w042","de.lex.irene","Irene","Irene","","","s007","Irene|Irenes","name"
"w043","de.lex.morgen.morning","morning","Morgen","der","","s007","Morgen","word"
"w044","de.lex.naehe","nearness / vicinity","Nähe","die","","s007","Nähe","word"
"w045","de.lex.verbringen","to spend (time)","verbringen","","","s007","verbracht|verbringen","word"
"w046","de.lex.von","from (Dativ)","von","","","s007","von","word"
"w047","de.lex.helfen","to help","helfen","","","s008","geholfen|helfen","word"
"w048","de.lex.mit","with","mit","","","s008","mit","word"
"w049","de.lex.sprechen","to speak","sprechen","","","s008","sprechen","word"
"w050","de.lex.verkleidung","disguise","Verkleidung","die","","s008","Verkleidung","word"
"w051","de.lex.alles","everything","alles","","","s009","alles","function"
"w052","de.lex.passieren","to happen","passieren","","","s009","passieren|passiert","word"
"w053","de.lex.sie.her","she / they / her (depending on context)","sie","","","s009","ihnen|Sie|sie","function"
"w054","de.lex.strasse.road","road","Straße","die","","s009","Straße","word"
"w055","de.lex.was","What?","Was?","","","s009","was|Was?","word"
"w056","de.lex.wissen.know","to know","wissen","","","s009","wissen","word"
"w057","de.lex.bei","at / by (Dativ)","bei","","","s010","bei","word"
"w058","de.lex.konzert","concert","Konzert","das","","s010","Konzert|Konzerten","word"
"w059","de.lex.leben.life","life","Leben","das","","s010","Leben|lebt","word"
"w060","de.lex.ruhig","quiet / calm","ruhig","","","s010","ruhig","word"
"w061","de.lex.singen.sing","to sing","singen","","","s010","singen|singt","word"
"w062","de.lex.aus.from","out / from","aus","","","s011","aus","word"
"w063","de.lex.ausfahren","to drive out","ausfahren","","","s011","ausfahren|auszufahren|fuhr aus|fährt aus","word"
"w064","de.lex.fahren","to drive","fahren","","","s011","fahren|fährt","word"
"w065","de.lex.fuenf","five","fünf","","","s011","fünf","word"
"w066","de.lex.jeden","every","jeden","","","s011","Jeden|jeden","function"
"w067","de.lex.abendessen","dinner","Abendessen","das","","s012","Abendessen","word"
"w068","de.lex.sieben","seven","sieben","","","s012","sieben","word"
"w069","de.lex.zum","to the","zum","","","s012","zum","word"
"w070","de.lex.zurueck","back","zurück","","","s012","zurück","word"
"w071","de.lex.zurueckkommen","to come back","zurückkommen","","","s012","zurückkommen|zurückzukommen|kam zurück|kommt zurück","word"
"w072","de.lex.anwalt","lawyer (m)","Anwalt","der","","s013","Anwalt","word"
"w073","de.lex.besuchen","to visit","besuchen","","","s013","besuchen|besucht","word"
"w074","de.lex.godfrey","Godfrey","Godfrey","","","s013","Godfrey","name"
"w075","de.lex.namens","named / by the name of","namens","","","s013","namens","word"
"w076","de.lex.norton","Norton","Norton","","","s013","Norton","name"
"w077","de.lex.oft","often","oft","","","s013","oft","word"
"w078","de.lex.beziehung","the relationship","Beziehung","die","","s014","Beziehung","word"
"w079","de.lex.ihr.her","her / their; to her","ihr","","","s014","ihr|ihre|ihrem","function"
"w080","de.lex.kennen.know","to know (a person)","kennen","","","s014","kennen|kennt","word"
"w081","de.lex.an","at / on / to","an","","","s015","an","function"
"w082","de.lex.ankommen","to arrive","ankommen","","","s015","angekommen|ankommen|kam an|kommt an","word"
