"lexeme_id","english","target","article","pos","level"
"de.adj.unterhaltsam","entertaining","unterhaltsam","","adjective","A2"
"de.adj.wenig","little","wenig","","adjective","A2"
"de.article.der","the","der","","article","A2"
"de.conjunctionpreposition.als","when/as/than","als","","conjunction/preposition","A2"
"de.name.hanna","Hanna","Hanna","","name","A2"
"de.noun.arzt","doctor","Arzt","der","noun","A2"
"de.verb.sein","be","sein","","verb","A2"
"de.adverb.nur","only","nur","","adverb","A2"
"de.article.ein","a/an","ein","","article","A2"
"de.conjunction.dass","that","dass","","conjunction","A2"
"de.noun.muskel","muscle","Muskel","der","noun","B1"
"de.noun.stueck","piece","Stück","das","noun","A2"
"de.pronoun.er","he/him","er","","pronoun","A2"
"de.verb.fehlen","be missing","fehlen","","verb","B1"
"de.verb.sagen","say","sagen","","verb","A2"
"de.adj.schlimm","serious/bad","schlimm","","adjective","A2"
"de.article.die","the","die","","article","A2"
"de.noun.meinung","opinion","Meinung","die","noun","A2"
"de.noun.verletzung","injury","Verletzung","die","noun","B1"
"de.particle.nicht","not","nicht","","particle","A2"
"de.possessive.sein","his/its","sein","","possessive","A2"
"de.preposition.nach","after/to/according to","nach","","preposition","A2"
"de.adverb.wieder","again","wieder","","adverb","A2"
"de.verb.sollen","should","sollen","","verb","A2"
"de.verb.wachsen","grow","wachsen","","verb","B1"
"de.adj.klein","small","klein","","adjective","A2"
"de.adverb.vielleicht","perhaps","vielleicht","","adverb","A2"
"de.conjunction.oder","or","oder","","conjunction","A2"
"de.noun.delle","hollow/dent","Delle","die","noun","B1"
"de.noun.narbe","scar","Narbe","die","noun","B1"
"de.verb.bleiben","stay","bleiben","","verb","A2"
"de.adj.sexy","sexy","sexy","","adjective","A2"
"de.verb.aussehen","look","aussehen","","verb","A2"
"de.verb.scherzen","joke","scherzen","","verb","B1"
"de.adj.derselbe","same","derselbe","","adjective","A2"
"de.adverb.jeden","every","jeden","","adverb","A2"
"de.noun.rede","speech","Rede","die","noun","B1"
"de.noun.tag","day","Tag","der","noun","A2"
"de.verb.wiederholen","repeat","wiederholen","","verb","B1"
"de.noun.frau","woman","Frau","die","noun","A2"
"de.noun.gefahr","danger","Gefahr","die","noun","A2"
"de.noun.zeichen","sign","Zeichen","das","noun","A2"
"de.preposition.von","from/of","von","","preposition","A2"
"de.verb.behaupten","claim","behaupten","","verb","B1"
"de.verb.moegen","like","mögen","","verb","A2"
"de.adj.tief","deep","tief","","adjective","A2"
"de.name.maik","Maik","Maik","","name","A2"
"de.noun.sinn","meaning","Sinn","der","noun","A2"
"de.verb.verstehen","understand","verstehen","","verb","B1"
"de.adj.hoeflich","polite","höflich","","adjective","A2"
"de.adverb.trotzdem","nevertheless","trotzdem","","adverb","A2"
"de.verb.zurueckzwinkern","wink back","zurückzwinkern","","verb","B1"
"de.adj.ernst","serious","ernst","","adjective","A2"
"de.adverb.spaeter","later","spaeter","","adverb","A2"
"de.noun.gespraech","conversations","Gespräch","das","noun","A2"
"de.possessive.ihr","her/their","ihr","","possessive","A2"
"de.verb.werden","become/will","werden","","verb","A2"
"de.verb.hereinrufen","call in","hereinrufen","","verb","B1"
"de.verb.koennen","can","können","","verb","A2"
"de.verb.laufen","walk/run","laufen","","verb","A2"
"de.adverb.gegenueber","opposite","gegenüber","","adverb","A2"
"de.adverb.sich","sich","sich","","adverb","A2"
"de.contraction.im","in the","im","","contraction","A2"
"de.noun.arztzimmer","doctor’s office","Arztzimmer","das","noun","B1"
"de.pronoun.sie","she/her/they/them","sie","","pronoun","A2"
"de.verb.sitzen","sit","sitzen","","verb","B1"
"de.adj.wichtig","important","wichtig","","adjective","A2"
"de.noun.firmenchef","business leaders","Firmenchef","der","noun","B1"
"de.noun.geschaeft","deal/business","Geschäft","das","noun","A2"
"de.preposition.bei","at/with","bei","","preposition","A2"
"de.questioncomparisonword.wie","how/like","wie","","question/comparison word","A2"
"de.verb.wirken","seem","wirken","","verb","B1"
"de.adj.menschlich","human","menschlich","","adjective","A2"
"de.noun.plastikoberkoerper","plastic torso","Plastikoberkörper","der","noun","B1"
"de.noun.schreibtisch","desk","Schreibtisch","der","noun","A2"
"de.prepositionparticle.auf","on/up","auf","","preposition/particle","A2"
"de.verb.stehen","stand","stehen","","verb","A2"
"de.noun.organ","organs","Organ","das","noun","B1"
"de.pronoun.man","one/people","man","","pronoun","A2"
"de.verb.herausnehmen","remove","herausnehmen","","verb","B1"
"de.noun.dickdarm","large intestine","Dickdarm","der","noun","B1"
"de.noun.gehirn","brain","Gehirn","das","noun","B1"
"de.contraction.vom","from the","vom","","contraction","A2"
"de.noun.farbe","paint/color","Farbe","die","noun","A2"
"de.noun.magen","stomach","Magen","der","noun","B1"
"de.verb.abblattern","peel off","abblättern","","verb","B1"
"de.preposition.mit","with","mit","","preposition","A2"
"de.verb.muessen","must","müssen","","verb","A2"
"de.verb.reden","talk","reden","","verb","A2"
"de.adj.schrecklich","terrible","schrecklich","","adjective","A2"
"de.determiner.dieser","this","dieser","","determiner","A2"
"de.noun.anfang","beginning/opening","Anfang","der","noun","A2"
"de.verb.finden","find/think","finden","","verb","A2"
"de.noun.satz","sentence/statement","Satz","der","noun","A2"
"de.verb.schweigen","remain silent","schweigen","","verb","B1"
"de.conjunction.und","and","und","","conjunction","A2"
"de.noun.blick","look/gaze","Blick","der","noun","A2"
"de.verb.anstarren","stare at","anstarren","","verb","B1"
"de.verb.senken","lower","senken","","verb","B1"
"de.adj.gruen","green","grün","","adjective","A2"
"de.adj.langsam","slow","langsam","","adjective","A2"
"de.adverb.dann","then","dann","","adverb","A2"
"de.noun.ordner","folder","Ordner","der","noun","B1"
"de.verb.oeffnen","open","öffnen","","verb","A2"
"de.adj.vorsichtig","careful","vorsichtig","","adjective","A2"
"de.noun.bewegung","movements","Bewegung","die","noun","A2"
"de.noun.operation","operation/surgery","Operation","die","noun","B1"
"de.prepositionparticle.an","at/on","an","","preposition/particle","A2"
"de.verb.erinnern","remind","erinnern","","verb","B1"
"de.adverb.schliesslich","after all/finally","schliesslich","","adverb","B1"
"de.noun.chirurg","surgeon","Chirurg","der","noun","B1"
"de.noun.mann","man","Mann","der","noun","A2"
"de.noun.kopf","head","Kopf","der","noun","A2"
"de.noun.wunde","wound","Wunde","die","noun","B1"
"de.verb.fragen","ask","fragen","","verb","A2"
"de.adverb.schon","already","schon","","adverb","A2"
"de.noun.autobahn","motorway","Autobahn","die","noun","A2"
"de.conjunction.aber","but","aber","","conjunction","A2"
"de.noun.erklaerung","explanation","Erklärung","die","noun","A2"
"de.noun.kopfwunde","head wound","Kopfwunde","die","noun","B1"
"de.verb.brauchen","need","brauchen","","verb","A2"
"de.noun.hocker","stool","Hocker","der","noun","A2"
"de.verb.fallen","fall","fallen","","verb","A2"
"de.noun.polizeistation","police station","Polizeistation","die","noun","A2"
"de.noun.sturz","fall","Sturz","der","noun","B1"
"de.verb.geschehen","happen","geschehen","","verb","B1"
"de.adj.nachdenklich","thoughtful","nachdenklich","","adjective","A2"
"de.noun.fingerspitze","fingertips","Fingerspitze","die","noun","B1"
"de.verb.zusammenlegen","put together","zusammenlegen","","verb","A2"
"de.adverb.dasselbe","dasselbe","dasselbe","","adverb","A2"
"de.noun.bericht","report","Bericht","der","noun","B1"
"de.verb.bemerken","notice","bemerken","","verb","B1"
"de.adj.schweigend","silent","schweigend","","adjective","A2"
"de.pronoun.beide","both","beide","","pronoun","A2"
"de.verb.nicken","nod","nicken","","verb","B1"
"de.preposition.unter","under/among","unter","","preposition","A2"
"de.adj.peinlich","embarrassing","peinlich","","adjective","A2"
"de.verb.antworten","answer","antworten","","verb","A2"
"de.verb.zuzwinkern","wink at","zuzwinkern","","verb","B1"
"de.preposition.ueber","over/about","ueber","","preposition","A2"
"de.pronoun.alles","everything","alles","","pronoun","A2"
"de.verb.duerfen","may/be allowed","dürfen","","verb","B1"
"de.verb.sprechen","speak","sprechen","","verb","A2"
"de.noun.schweigepflicht","duty of confidentiality","Schweigepflicht","die","noun","B1"
"de.verb.haben","have","haben","","verb","A2"
"de.adverb.bereits","already","bereits","","adverb","B1"
"de.noun.regel","rule","Regel","die","noun","A2"
"de.adverb.erwartet","erwartet","erwartet","","adverb","A2"
"de.noun.geheimnis","secret","Geheimnis","das","noun","A2"
"de.questiondeterminer.welcher","which","welcher","","question determiner","A2"
"de.noun.aufsichtspflicht","duty of care","Aufsichtspflicht","die","noun","B1"
"de.noun.polizist","police officer","Polizist","der","noun","A2"
"de.verb.erklaeren","explain","erklären","","verb","B1"
"de.adverb.einfach","simply","einfach","","adverb","A2"
"de.noun.angabe","statements/information","Angabe","die","noun","B1"
"de.verb.glauben","believe","glauben","","verb","A2"
"de.adverb.sofort","immediately","sofort","","adverb","A2"
"de.verb.pruefen","check","prüfen","","verb","B1"
"de.adverb.ausserdem","in addition","ausserdem","","adverb","A2"
"de.verb.rufen","call","rufen","","verb","A2"
"de.adj.gefaehrlich","dangerous","gefährlich","","adjective","A2"
"de.noun.blutverlust","blood loss","Blutverlust","der","noun","B1"
"de.pronoun.jemand","someone","jemand","","pronoun","A2"
"de.verb.verletzen","injure","verletzen","","verb","B1"
"de.verb.vermuten","assume/suspect","vermuten","","verb","B1"
"de.adj.versteckt","hidden","versteckt","","adjective","A2"
"de.adverb.endlich","finally","endlich","","adverb","A2"
"de.noun.frage","question","Frage","die","noun","A2"
"de.adj.indirekt","indirect","indirekt","","adjective","A2"
"de.noun.art","manner/way","Art","die","noun","A2"
"de.adj.schnell","quick","schnell","","adjective","A2"
"de.adverb.beiden","beiden","beiden","","adverb","A2"
"de.adverb.winkt","winkt","winkt","","adverb","A2"
"de.noun.hand","hand","Hand","die","noun","A2"
"de.adj.korrekt","correct","korrekt","","adjective","A2"
"de.verb.betonen","emphasize","betonen","","verb","B1"
"de.verb.passieren","happen","passieren","","verb","B1"
"de.noun.hosenbein","trouser leg","Hosenbein","das","noun","A2"
"de.noun.sitzen","sitting","Sitzen","das","noun","A2"
