"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1. Narbe und Heilung","The doctor is less entertaining than Hanna.","Der Arzt ist weniger unterhaltsam als Hanna.","","","Der Arzt|ist weniger unterhaltsam|als Hanna","de.comparative_als|de.copular","A2"
"s002","2","1. Narbe und Heilung","He says only a piece of muscle is missing.","Er sagt, dass nur ein Stück Muskel fehlt.","","","Er sagt|dass nur ein Stück Muskel|fehlt","de.subordinate_dass|de.verb_second","A2"
"s003","3","1. Narbe und Heilung","According to him, the injury is not serious.","Nach seiner Meinung ist die Verletzung nicht schlimm.","","","Nach seiner Meinung|ist die Verletzung|nicht schlimm","de.inversion|de.negation","A2"
"s004","4","1. Narbe und Heilung","The muscle should grow back.","Der Muskel soll wieder wachsen.","","","Der Muskel|soll|wieder wachsen","de.modal_infinitive|de.verb_second","A2"
"s005","5","1. Narbe und Heilung","A small hollow or scar may remain.","Vielleicht bleibt eine kleine Delle oder Narbe.","","","Vielleicht|bleibt|eine kleine Delle oder Narbe","de.inversion|de.coordination","A2"
"s006","6","2. Der Arztwitz","The doctor jokes that scars look sexy.","Der Arzt scherzt, dass Narben sexy aussehen.","","","Der Arzt scherzt|dass Narben|sexy aussehen","de.subordinate_dass|de.separable_verb","A2"
"s007","7","2. Der Arztwitz","Every day, he repeats the same speech.","Jeden Tag wiederholt er dieselbe Rede.","","","Jeden Tag|wiederholt er|dieselbe Rede","de.inversion|de.accusative_object","A2"
"s008","8","2. Der Arztwitz","He claims women like signs of danger.","Er behauptet, Frauen mögen Zeichen von Gefahr.","","","Er behauptet|Frauen mögen|Zeichen von Gefahr","de.reported_speech|de.accusative_object","A2"
"s009","9","2. Der Arztwitz","Maik does not understand the deeper meaning.","Maik versteht den tieferen Sinn nicht.","","","Maik|versteht den tieferen Sinn|nicht","de.accusative_object|de.negation","A2"
"s010","10","2. Der Arztwitz","Still, he politely winks back.","Trotzdem zwinkert er höflich zurück.","","","Trotzdem|zwinkert er höflich|zurück","de.inversion|de.separable_verb","A2"
"s011","11","3. Das Arztzimmer","Later, their conversations become more serious.","Später werden ihre Gespräche ernster.","","","Später|werden ihre Gespräche|ernster","de.inversion|de.comparative","A2"
"s012","12","3. Das Arztzimmer","When Maik can walk again, the doctor calls him in.","Als Maik wieder laufen kann, ruft der Arzt ihn herein.","","","Als Maik wieder laufen kann|ruft der Arzt ihn|herein","de.temporal_als|de.modal_infinitive|de.separable_verb","A2"
"s013","13","3. Das Arztzimmer","They sit opposite each other in the doctor’s office.","Im Arztzimmer sitzen sie sich gegenüber.","","","Im Arztzimmer|sitzen sie sich|gegenüber","de.contraction|de.inversion|de.reflexive","A2"
"s014","14","3. Das Arztzimmer","They look like business leaders planning a deal.","Sie wirken wie Firmenchefs bei einem wichtigen Geschäft.","","","Sie wirken|wie Firmenchefs|bei einem wichtigen Geschäft","de.comparison_wie|de.prepositional_phrase","A2"
"s015","15","3. Das Arztzimmer","A plastic human torso stands on the desk.","Auf dem Schreibtisch steht ein menschlicher Plastikoberkörper.","","","Auf dem Schreibtisch|steht|ein menschlicher Plastikoberkörper","de.inversion|de.prepositional_phrase","A2"
"s016","16","3. Das Arztzimmer","Its organs can be removed.","Seine Organe kann man herausnehmen.","","","Seine Organe|kann man|herausnehmen","de.fronting|de.modal_infinitive|de.separable_verb","A2"
"s017","17","3. Das Arztzimmer","The large intestine resembles a brain.","Der Dickdarm sieht wie ein Gehirn aus.","","","Der Dickdarm|sieht wie ein Gehirn|aus","de.separable_verb|de.comparison_wie","A2"
"s018","18","3. Das Arztzimmer","Paint is peeling from the stomach model.","Vom Magen blättert die Farbe ab.","","","Vom Magen|blättert die Farbe|ab","de.contraction|de.inversion|de.separable_verb","A2"
"s019","19","4. Ein schwieriger Anfang","The doctor says that he must talk to Maik.","Der Arzt sagt, dass er mit Maik reden muss.","","","Der Arzt sagt|dass er mit Maik|reden muss","de.subordinate_dass|de.modal_infinitive","A2"
"s020","20","4. Ein schwieriger Anfang","Maik thinks this is a terrible opening.","Maik findet diesen Anfang schrecklich.","","","Maik|findet diesen Anfang|schrecklich","de.accusative_object|de.adjective_predicate","A2"
"s021","21","4. Ein schwieriger Anfang","After saying it, the doctor remains silent.","Nach diesem Satz schweigt der Arzt.","","","Nach diesem Satz|schweigt der Arzt","de.inversion|de.prepositional_phrase","A2"
"s022","22","4. Ein schwieriger Anfang","He stares at Maik and lowers his eyes.","Er starrt Maik an und senkt den Blick.","","","Er starrt Maik an|und|senkt den Blick","de.separable_verb|de.coordination","A2"
"s023","23","4. Ein schwieriger Anfang","Then he slowly opens a green folder.","Dann öffnet er langsam einen grünen Ordner.","","","Dann|öffnet er langsam|einen grünen Ordner","de.inversion|de.accusative_object","A2"
