"sentence_id","surface","occurrence","item_id"
"s006","aussehen","1","w033"
"s010","zwinkert ... zurück","1","w052"
"s012","ruft ... herein","1","w058"
"s015","Plastikoberkörper","1","w074"
"s016","herausnehmen","1","w080"
"s017","Dickdarm","1","w081"
"s017","sieht ... aus","1","w033"
"s018","blättert ... ab","1","w086"
"s022","starrt ... an","1","w098"
"s030","Polizeistation","1","w124"
"s031","legt ... zusammen","1","w129"
"s035","zwinkert ... zu","1","w139"
"s037","Schweigepflicht","1","w144"
"s040","Aufsichtspflicht","1","w151"
"s044","Blutverlust","1","w162"
"s050","Sitzen","1","w179"
"s053","Fremdeinwirkung","1","w189"
"s054","Fernsehkrimi","1","w192"
"s057","spielt ... vor","1","w201"
"s064","in die Walachei","1","w215"
"s067","geben ... die Hand","1","w226"
