"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.adj.unterhaltsam","entertaining","unterhaltsam","","","s001","unterhaltsam","word"
"w002","de.adj.wenig","little","wenig","","","s001","weniger","word"
"w003","de.article.der","the","der","","grammar word","s001","dem|Den|den|Der|der","function"
"w004","de.conjunctionpreposition.als","when/as/than","als","","grammar word","s001","Als|als","function"
"w005","de.name.hanna","Hanna","Hanna","","","s001","Hanna|Hannas","name"
"w006","de.noun.arzt","doctor","Arzt","der","","s001","Arzt","word"
"w007","de.verb.sein","be","sein","","","s001","gewesen|ist|sei|seien|sein|sind|war|wäre","word"
"w008","de.adverb.nur","only","nur","","grammar word","s002","nur","function"
"w009","de.article.ein","a/an","ein","","grammar word","s002","Ein|ein|Eine|eine|einem|einen|einer","function"
"w010","de.conjunction.dass","that","dass","","grammar word","s002","dass","function"
"w011","de.noun.muskel","muscle","Muskel","der","","s002","Muskel","word"
"w012","de.noun.stueck","piece","Stück","das","","s002","Stück","word"
"w013","de.pronoun.er","he/him","er","","grammar word","s002","Er|er|Ihm|ihm|ihn","function"
"w014","de.verb.fehlen","be missing","fehlen","","","s002","fehlt","word"
"w015","de.verb.sagen","say","sagen","","","s002","sagen|sagt|sagte","word"
"w016","de.adj.schlimm","serious/bad","schlimm","","","s003","schlimm","word"
"w017","de.article.die","the","die","","grammar word","s003","Die|die","function"
"w018","de.noun.meinung","opinion","Meinung","die","","s003","Meinung","word"
"w019","de.noun.verletzung","injury","Verletzung","die","","s003","Verletzung|Verletzungen","word"
"w020","de.particle.nicht","not","nicht","","grammar word","s003","nicht","function"
"w021","de.possessive.sein","his/its","sein","","grammar word","s003","Sein|sein|Seine|seine|seinem|seinen|seiner","function"
"w022","de.preposition.nach","after/to/according to","nach","","grammar word","s003","Nach|nach","function"
"w023","de.adverb.wieder","again","wieder","","grammar word","s004","wieder","function"
"w024","de.verb.sollen","should","sollen","","","s004","soll|sollte","word"
"w025","de.verb.wachsen","grow","wachsen","","","s004","wachsen","word"
"w026","de.adj.klein","small","klein","","","s005","kleine","word"
"w027","de.adverb.vielleicht","perhaps","vielleicht","","grammar word","s005","Vielleicht","function"
"w028","de.conjunction.oder","or","oder","","grammar word","s005","oder","function"
"w029","de.noun.delle","hollow/dent","Delle","die","","s005","Delle","word"
"w030","de.noun.narbe","scar","Narbe","die","","s005","Narbe|Narben","word"
"w031","de.verb.bleiben","stay","bleiben","","","s005","bleiben|bleibt|geblieben","word"
"w032","de.adj.sexy","sexy","sexy","","","s006","sexy","word"
"w033","de.verb.aussehen","look","aussehen","","","s006","aussehen|auszusehen|sieht ... aus","phrase"
"w034","de.verb.scherzen","joke","scherzen","","","s006","scherzt","word"
"w035","de.adj.derselbe","same","derselbe","","","s007","dieselbe","word"
"w036","de.adverb.jeden","every","jeden","","","s007","Jeden|jeden","word"
"w037","de.noun.rede","speech","Rede","die","","s007","Rede","word"
"w038","de.noun.tag","day","Tag","der","","s007","Tag","word"
