"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","Emil looks at the letter.","Emil sieht den Brief an.","","","Emil|sieht|den Brief|an.","de.sep.prefix-split","A0.2"
"s002","2","1","There is no name on the paper.","Auf dem Papier steht kein Name.","","","Auf dem Papier|steht|kein Name.","de.wordorder.verb-second","A0.2"
"s003","3","1","But five words are written there.","Aber dort stehen fünf Wörter.","","","Aber dort|stehen|fünf Wörter.","","A0.2"
"s004","4","1","Come to the bridge at ten.","Komm um zehn zur Brücke.","","","Komm|um zehn|zur Brücke.","de.imperative","A0.2"
"s005","5","1","Bring the key with you.","Bring den Schlüssel mit.","","","Bring|den Schlüssel|mit.","de.imperative","A0.2"
"s006","6","2","Clara is not calm.","Clara ist nicht ruhig.","","","Clara|ist nicht|ruhig.","","A0.2"
"s007","7","2","Who is writing this letter?","Wer schreibt diesen Brief?","","","Wer|schreibt|diesen Brief?","","A0.2"
"s008","8","2","Emil does not know.","Emil weiß es nicht.","","","Emil|weiß es|nicht.","","A0.2"
"s009","9","2","But he finds a red thread.","Aber er findet einen roten Faden.","","","Aber er|findet|einen roten Faden.","","A0.2"
"s010","10","2","The thread lies under the paper.","Der Faden liegt unter dem Papier.","","","Der Faden|liegt|unter dem Papier.","de.case.dat-after-prep","A0.2"
"s011","11","3","Emil also sees a trace.","Emil sieht auch eine Spur.","","","Emil|sieht auch|eine Spur.","","A0.2"
"s012","12","3","A shoe is wet.","Ein Schuh ist nass.","","","Ein Schuh|ist|nass.","","A0.2"
"s013","13","3","There is mud on the floor.","Auf dem Boden ist Schlamm.","","","Auf dem Boden|ist|Schlamm.","de.wordorder.verb-second","A0.2"
"s014","14","3","The man in the fog was here.","Der Mann im Nebel war hier.","","","Der Mann im Nebel|war|hier.","","A0.2"
"s015","15","3","But why?","Aber warum?","","","Aber|warum?","","A0.2"
"s016","16","4","Emil has an idea.","Emil hat eine Idee.","","","Emil|hat|eine Idee.","","A0.2"
"s017","17","4","We are going to the bridge, he says.","Wir gehen zur Brücke, sagt er.","","","Wir gehen|zur Brücke,|sagt er.","","A0.2"
"s018","18","4","Clara takes the key with her.","Clara nimmt den Schlüssel mit.","","","Clara|nimmt|den Schlüssel|mit.","de.sep.prefix-split","A0.2"
"s019","19","4","Emil is wearing an old coat.","Emil trägt einen alten Mantel.","","","Emil|trägt|einen alten Mantel.","","A0.2"
"s020","20","4","There is a small watch in his pocket.","In seiner Tasche ist eine kleine Uhr.","","","In seiner Tasche|ist|eine kleine Uhr.","de.wordorder.verb-second","A0.2"
"s021","21","5","It is ten o’clock.","Es ist zehn Uhr.","","","Es ist|zehn Uhr.","","A0.2"
"s022","22","5","The bridge is empty.","Die Brücke ist leer.","","","Die Brücke|ist|leer.","","A0.2"
"s023","23","5","Then they hear a voice.","Dann hören sie eine Stimme.","","","Dann|hören sie|eine Stimme.","","A0.2"
"s024","24","5","The key opens no door, says the voice.","Der Schlüssel öffnet keine Tür, sagt die Stimme.","","","Der Schlüssel|öffnet|keine Tür,|sagt die Stimme.","","A0.2"
"s025","25","5","It opens a box.","Er öffnet eine Kiste.","","","Er|öffnet|eine Kiste.","","A0.2"
"s026","26","6","Where is the box? Clara asks.","Wo ist die Kiste? fragt Clara.","","","Wo|ist die Kiste?|fragt Clara.","","A0.2"
"s027","27","6","In the courtyard of number seventeen.","Im Hof von Nummer siebzehn.","","","Im Hof|von Nummer siebzehn.","","A0.2"
"s028","28","6","A man comes out of the fog.","Ein Mann kommt aus dem Nebel.","","","Ein Mann|kommt|aus dem Nebel.","","A0.2"
"s029","29","6","There is a red thread on his coat.","An seinem Mantel ist ein roter Faden.","","","An seinem Mantel|ist|ein roter Faden.","de.wordorder.verb-second","A0.2"
"s030","30","6","Emil smiles.","Emil lächelt.","","","Emil|lächelt.","","A0.2"
"s031","31","6","Now I know the first answer, he says.","Jetzt kenne ich die erste Antwort, sagt er.","","","Jetzt|kenne ich|die erste Antwort,|sagt er.","","A0.2"
