"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.lex.emil","Emil","Emil","","","s001","Emil","name"
"w002","de.lex.sehen","to see","sehen","","","s001","sieht|sehen","word"
"w003","de.lex.der-bestimmte-artikel","the","der bestimmte Artikel","","","s001","der|die|das|den|dem|Der|Die|Das|Den|Dem","function"
"w004","de.lex.brief","letter","Brief","der","","s001","Brief","word"
"w005","de.lex.an","at / on","an","","","s001","an|am|An|Am","function"
"w006","de.lex.auf.into","on","auf","","","s002","auf|Auf","function"
"w007","de.lex.der-bestimmte-artikel","the (dative)","der bestimmte Artikel","","","s002","dem","function"
"w008","de.lex.papier","paper","Papier","das","","s002","Papier","word"
"w009","de.lex.stehen","to stand","stehen","","","s002","steht|stehen","word"
"w010","de.lex.kein","no / not a","kein","","","s002","kein|keine|keinen|keinem|Kein|Keine","function"
"w011","de.lex.name","name","Name","der","","s002","Name|namen","word"
"w012","de.lex.aber","but","aber","","","s003","aber|Aber","function"
"w013","de.lex.dort","there","dort","","","s003","dort|Dort","function"
"w014","de.lex.fuenf","five","fünf","","","s003","fünf","word"
"w015","de.lex.wort","word","Wort","das","","s003","Wort|wörter","word"
"w016","de.lex.kommen","to come","kommen","","","s004","kommt|kommen|komm","word"
"w017","de.lex.um","at / around","um","","","s004","um","function"
"w018","de.lex.zehn","ten","zehn","","","s004","zehn","word"
"w019","de.lex.zu.too","to","zu","","","s004","zu|zum|zur|Zu|Zum|Zur","function"
"w020","de.lex.bruecke","bridge","Brücke","die","","s004","Brücke","word"
"w021","de.lex.bringen","to bring","bringen","","","s005","bringt|bringen|bring","word"
"w022","de.lex.schluessel","key","Schlüssel","der","","s005","Schlüssel","word"
"w023","de.lex.mit","with","mit","","","s005","mit|Mit","function"
"w024","de.lex.clara","Clara’s","Clara","","","s006","Claras","name"
"w025","de.lex.sein","to be","sein","","","s006","ist|sind|sein","word"
"w026","de.lex.nicht","not","nicht","","","s006","nicht","function"
"w027","de.lex.ruhig","quiet / calm","ruhig","","","s006","ruhig|Ruhig","word"
"w028","de.lex.wer.who","who","wer","","","s007","wer|Wer","function"
"w029","de.lex.schreiben","to write","schreiben","","","s007","schreibt|schreiben","word"
"w030","de.lex.dies","this","dies","","","s007","diesen|dieser|dieses","function"
"w031","de.lex.wissen.know","to know","wissen","","","s008","weiß|wissen","word"
"w032","de.lex.es","it","es","","","s008","Es|es","function"
"w033","de.lex.er","him","er","","","s009","ihn","function"
"w034","de.lex.finden","to find","finden","","","s009","findet|finden","word"
"w035","de.lex.ein","a / an","ein","","","s009","einen","function"
"w036","de.lex.rot","red","rot","","","s009","rot|rote|roten|roter","word"
"w037","de.lex.faden","thread","Faden","der","","s009","Faden","word"
"w038","de.lex.liegen","to lie / be located","liegen","","","s010","liegt|liegen","word"
"w039","de.lex.unter","under","unter","","","s010","unter|Unter","function"
"w040","de.lex.auch","also","auch","","","s011","auch|Auch","function"
