"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.adj.schoen","beautiful","schön","","","s001","schön|schöne|schönste","word"
"w002","de.conjunction.dass","that","dass","","grammar word","s001","dass","function"
"w003","de.name.maik","Maik","Maik","","","s001","Maik|Maiks","name"
"w004","de.noun.krankenhaus","hospital","Krankenhaus","das","","s001","Krankenhaus|Krankenhäuser","word"
"w005","de.noun.ort","place","Ort","der","","s001","Ort|Orte","word"
"w006","de.verb.finden","find/think","finden","","","s001","findet","word"
"w007","de.verb.koennen","can","können","","","s001","kann|können|könnte","word"
"w008","de.verb.sein","be","sein","","","s001","gewesen|ist|sei|seien|sein|sind|war|wäre","word"
"w009","de.adverb.gern","gern","gern","","","s002","gern","word"
"w010","de.adverb.immer","always","immer","","","s002","immer","word"
"w011","de.adverb.schon","already","schon","","grammar word","s002","schon","function"
"w012","de.contraction.im","in the","im","","grammar word","s002","Im|im","function"
"w013","de.pronoun.er","he/him","er","","grammar word","s002","Er|er|Ihm|ihm|ihn","function"
"w014","de.adj.ganz","whole","ganz","","","s003","ganze|ganzen","word"
"w015","de.adverb.dort","there","dort","","grammar word","s003","Dort","function"
"w016","de.adverb.fast","almost","fast","","grammar word","s003","fast","function"
"w017","de.article.der","the","der","","grammar word","s003","dem|Den|den|Der|der","function"
"w018","de.noun.tag","day","Tag","der","","s003","Tag","word"
"w019","de.pronoun.nichts","nothing","nichts","","grammar word","s003","nichts","function"
"w020","de.verb.machen","make/do","machen","","","s003","gemacht|machen|macht","word"
"w021","de.adj.freundlich","friendly","freundlich","","","s004","freundlich|freundliche","word"
"w022","de.adj.jung","young","jung","","","s004","junge|Jungen","word"
"w023","de.adverb.dann","then","dann","","grammar word","s004","Dann|dann","function"
"w024","de.noun.krankenschwester","nurse","Krankenschwester","die","","s004","Krankenschwester|Krankenschwestern","word"
"w025","de.phrase.ins_zimmer","into the room","ins Zimmer","","","s004","ins Zimmer","phrase"
"w026","de.verb.kommen","come","kommen","","","s004","kommen|kommt","word"
"w027","de.adj.duenn","thin","dünn","","","s005","dünn","word"
"w028","de.adj.weiss","white","weiß","","","s005","weißen|weißer","word"
"w029","de.noun.kittel","coat","Kittel","der","","s005","Kittel","word"
"w030","de.possessive.ihr","her/their","ihr","","grammar word","s005","Ihre|ihre|ihrer","function"
"w031","de.article.die","the","die","","grammar word","s006","Die|die","function"
"w032","de.noun.stoff","fabric","Stoff","der","","s006","Stoff","word"
"w033","de.noun.unterwaesche","underwear","Unterwäsche","die","","s006","Unterwäsche","word"
"w034","de.preposition.unter","under/among","unter","","grammar word","s006","Unter|unter","function"
"w035","de.verb.bemerken","notice","bemerken","","","s006","bemerkt","word"
"w036","de.article.das","the","das","","grammar word","s007","Das|das","function"
"w037","de.particle.nicht","not","nicht","","grammar word","s007","nicht","function"
