"id","name","english","explanation","example_id","level"
"de.accusative_object","Accusative object","direct object","The accusative marks many direct objects.","s006","A2"
"de.adjective_predicate","Predicative adjective","adjective after a linking verb","A predicative adjective has no ending after sein, werden or wirken.","s005","A2"
"de.adverb_position","Adverb placement","position of adverbial information","German adverbs are placed according to meaning and emphasis, often in the middle field.","s011","A2"
"de.comparative","Comparative adjective","more or -er","The comparative marks a higher degree.","s025","A2"
"de.contraction","Preposition-article contraction","contracted preposition and article","Forms such as im, am, ins, vom and zum combine a preposition with an article.","s002","A2"
"de.coordination","Coordinated clauses or phrases","coordination with and/but/or","Connect equal elements with und, aber, oder or doch.","s015","A2"
"de.copular","Copular clause","linking verb sein or werden","Sein and werden connect the subject to a description or identity.","s005","A2"
"de.dative_experiencer","Dative experiencer","a feeling expressed with dative","Some feelings and evaluations use a dative person, as in mir ist kalt.","s007","B1"
"de.dative_object","Dative object","recipient or affected person","The dative often marks the recipient or person affected.","s031","A2"
"de.impersonal_es","Impersonal es","impersonal it","Es can fill the subject position in general statements or evaluations.","s013","A2"
"de.indirect_question","Indirect question","embedded question","Question words introduce subordinate clauses with the verb at the end.","s007","B1"
"de.indirect_yesno","Indirect yes-no question","whether-clause","Ob introduces an indirect yes-no question with the verb at the end.","s019","B1"
"de.infinitive_as_subject","Infinitive phrase as subject","doing something as the subject","An infinitive phrase can function as the subject of the sentence.","s041","B1"
"de.inversion","Fronted element and inversion","fronted element before the verb","When another element comes first, the finite verb still stays second and the subject follows.","s003","A2"
"de.konjunktiv_i","Konjunktiv I","reported speech form","Konjunktiv I marks information reported from another speaker or belief.","s033","B1"
"de.konjunktiv_ii","Konjunktiv II","would or hypothetical form","Use würde or special forms such as könnte and wäre for imagined or unlikely situations.","s008","B1"
"de.modal_infinitive","Modal verb plus infinitive","can, must, should plus verb","The modal verb is finite and the main infinitive stands at the end.","s001","A2"
"de.name_phrase","Multi-word name","personal name","A multi-word proper name functions as one reference.","s014","A2"
"de.negation","Negation with nicht or kein","negating a clause or noun","Use nicht for clauses and qualities, and kein for indefinite nouns.","s003","A2"
"de.past_simple","Narrative preterite","simple past narration","Common narrative verbs such as war, hatte, sagte and sah often appear in the preterite.","s002","A2"
"de.prepositional_phrase","Prepositional phrase","preposition plus noun phrase","A preposition introduces information about place, time, cause or relation.","s006","A2"
"de.reflexive","Reflexive verb","verb with sich","The reflexive pronoun refers back to the subject.","s019","A2"
"de.separable_verb","Separable verb","prefix separated in a main clause","In a main clause, the separable prefix moves to the end.","s031","A2"
"de.subordinate_bevor","Clause with bevor","before","Bevor introduces an earlier action and sends the verb to the end.","s011","A2"
"de.subordinate_dass","Clause with dass","that-clause","Dass introduces a subordinate clause and sends the finite verb to the end.","s001","A2"
"de.subordinate_wenn","Clause with wenn","when or if","Wenn introduces repeated time or a condition and sends the verb to the end.","s021","A2"
"de.verb_second","Verb in second position","finite verb in second position","In main clauses, the finite verb normally occupies the second field.","s014","A2"
