"lexeme_id","english","target","article","pos","level"
"de.adj.schoen","beautiful","schön","","adjective","A2"
"de.conjunction.dass","that","dass","","conjunction","A2"
"de.name.maik","Maik","Maik","","name","A2"
"de.noun.krankenhaus","hospital","Krankenhaus","das","noun","A2"
"de.noun.ort","place","Ort","der","noun","A2"
"de.verb.finden","find/think","finden","","verb","A2"
"de.verb.koennen","can","können","","verb","A2"
"de.verb.sein","be","sein","","verb","A2"
"de.adverb.gern","gern","gern","","adverb","A2"
"de.adverb.immer","always","immer","","adverb","A2"
"de.adverb.schon","already","schon","","adverb","A2"
"de.contraction.im","in the","im","","contraction","A2"
"de.pronoun.er","he/him","er","","pronoun","A2"
"de.adj.ganz","whole","ganz","","adjective","A2"
"de.adverb.dort","there","dort","","adverb","A2"
"de.adverb.fast","almost","fast","","adverb","A2"
"de.article.der","the","der","","article","A2"
"de.noun.tag","day","Tag","der","noun","A2"
"de.pronoun.nichts","nothing","nichts","","pronoun","A2"
"de.verb.machen","make/do","machen","","verb","A2"
"de.adj.freundlich","friendly","freundlich","","adjective","A2"
"de.adj.jung","young","jung","","adjective","A2"
"de.adverb.dann","then","dann","","adverb","A2"
"de.noun.krankenschwester","nurse","Krankenschwester","die","noun","A2"
"de.phrase.ins_zimmer","into the room","ins Zimmer","","phrase","A2"
"de.verb.kommen","come","kommen","","verb","A2"
"de.adj.duenn","thin","dünn","","adjective","A2"
"de.adj.weiss","white","weiß","","adjective","A2"
"de.noun.kittel","coat","Kittel","der","noun","A2"
"de.possessive.ihr","her/their","ihr","","possessive","A2"
"de.article.die","the","die","","article","A2"
"de.noun.stoff","fabric","Stoff","der","noun","B1"
"de.noun.unterwaesche","underwear","Unterwäsche","die","noun","B1"
"de.preposition.unter","under/among","unter","","preposition","A2"
"de.verb.bemerken","notice","bemerken","","verb","B1"
"de.article.das","the","das","","article","A2"
"de.particle.nicht","not","nicht","","particle","A2"
"de.questionadverb.warum","why","warum","","question adverb","A2"
