"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w0001","de.lex.um","around / about / for","um","","","s001","Um|um","function"
"w0002","de.lex.punkt","point","Punkt","der","","s001","Punkt|punkt","word"
"w0003","de.lex.drei","three","drei","","","s001","drei","word"
"w0004","de.lex.uhr.clock-2","clock / watch","Uhr","die","","s001","Uhr","word"
"w0005","de.lex.sein","to be","sein","","","s001","war|seinem|ist|War|sein|waren|wäre|sind|Ist|gewesen","word"
"w0006","de.lex.ich","I","ich","","","s001","ich|Ich|mir","function"
"w0007","de.lex.in","in / into","in","","","s001","in|ins|im|Im|In","function"
"w0008","de.lex.der-bestimmte-artikel","the (definite article)","der bestimmte Artikel","","","s001","der|Die|das|den|die|des|dem|Das|Der","function"
"w0009","de.lex.baker","Baker","Baker","","","s001","Baker","name"
"w0010","de.lex.street","Street","Street","","","s001","Street","name"
"w0011","de.private.bohemia.ext.doch","but / after all / indeed","doch","","","s001","doch","function"
"w0012","de.lex.holmes","Holmes","Holmes","","","s001","Holmes|Holmes'","name"
"w0013","de.lex.noch","still / another / yet","noch","","","s001","noch|Noch","function"
"w0014","de.lex.nicht","not","nicht","","","s001","nicht|Nicht","function"
"w0015","de.lex.zurueck","back","zurück","","","s001","zurück","word"
"w0016","de.private.bohemia.ext.hauswirtin","landlady","Hauswirtin","die","","s002","Hauswirtin","word"
"w0017","de.private.bohemia.ext.surface.informierte","informed","informierte","","","s002","informierte","word"
"w0018","de.lex.mich","me (accusative)","mich","","","s002","mich","word"
"w0019","de.lex.dass","that (subordinating conjunction)","dass","","","s002","daß","function"
"w0020","de.lex.er","he","er","","","s002","er|ihn|Er|ihm","word"
"w0021","de.lex.haus","house","Haus","das","","s002","Haus|Hause","word"
"w0022","de.lex.kurz","short","kurz","","","s002","kurz","word"
"w0023","de.lex.nach","after / to (Dativ)","nach","","","s002","nach|Nach","word"
"w0024","de.lex.acht","eight","acht","","","s002","acht","word"
"w0025","de.lex.morgens","in the morning","morgens","","","s002","morgens","word"
"w0026","de.lex.verlassen","to leave (a place)","verlassen","","","s002","verlassen","word"
"w0027","de.lex.haben","to have","haben","","","s002","hatte|habe|haben|hat|Hat|Haben","word"
"w0028","de.private.bohemia.ext.surface.setzte","context: I nevertheless sat down beside the fire, intending to wait for him however long it might take.","setzte","","Context-assisted gloss; use the sentence translation for exact nuance.","s003","setzte","word"
"w0029","de.private.bohemia.ext.surface.dennoch","context: I nevertheless sat down beside the fire, intending to wait for him however long it might take.","dennoch","","Context-assisted gloss; use the sentence translation for exact nuance.","s003","dennoch","word"
"w0030","de.lex.neben","beside","neben","","","s003","neben","word"
"w0031","de.lex.kamin","fireplace / chimney","Kamin","der","","s003","Kamin","word"
"w0032","de.lex.absichtlich","on purpose","absichtlich","","","s003","Absicht","word"
"w0033","de.lex.auf.into","on / onto / into","auf","","","s003","auf|aufs|Auf","function"
"w0034","de.lex.zu.at","to / at","zu","","","s003","zu|Zu","function"
"w0035","de.lex.warten","to wait","warten","","","s003","warten","word"
"w0036","de.lex.wie","How?","Wie?","","","s003","wie","word"
